"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. Los aviones serán utilizados para reforzar la defensa aérea del país y reemplazar la flota de aviones Mirage V, que se encuentra obsoleta.";"trome";"2021-03-02";"2"
"El dólar blue toca un nuevo máximo histórico";"NA";"NA";"El dólar blue alcanzó hoy un nuevo máximo histórico en el mercado informal, cotizando a $350. La suba se debe a la incertidumbre económica y política, y a la alta demanda de divisas. Los analistas advierten que la brecha entre el dólar oficial y el blue seguirá creciendo si no se toman medidas para estabilizar la economía.";"trome";"2021-03-02";"2"
"La inflación sigue descontrolada";"NA";"NA";"La inflación en Argentina sigue descontrolada, alcanzando un 104% en los últimos 12 meses. Los precios de los alimentos y las bebidas son los que más aumentaron, lo que afecta el poder adquisitivo de los ciudadanos. El Gobierno anunció nuevas medidas para controlar la inflación, pero los economistas dudan de su efectividad.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo aumento en las tarifas de los servicios públicos";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de los servicios públicos, como la electricidad, el gas y el agua. El aumento se justifica por la necesidad de cubrir los costos de producción y garantizar la calidad del servicio. La medida generó críticas de la oposición y de los usuarios, que denuncian que no pueden pagar las tarifas.";"trome";"2021-03-02";"2"
"El dólar oficial supera los $300";"NA";"NA";"El dólar oficial superó hoy los $300 en el mercado cambiario, luego de que el Banco Central decidiera devaluar la moneda. La medida busca mejorar la competitividad de las exportaciones y reducir el déficit comercial. Sin embargo, los analistas advierten que la devaluación podría generar un aumento de la inflación.";"trome";"2021-03-02";"2"
"El Gobierno lanzó un nuevo programa de asistencia social";"NA";"NA";"El Gobierno lanzó un nuevo programa de asistencia social para ayudar a las familias más vulnerables. El programa consiste en la entrega de tarjetas alimentarias y de subsidios para cubrir los gastos básicos. La medida busca reducir la pobreza y la desigualdad social.";"trome";"2021-03-02";"2"
"El Congreso debate una nueva ley de reforma laboral";"NA";"NA";"El Congreso debate una nueva ley de reforma laboral que busca flexibilizar las condiciones de trabajo y promover la creación de empleo. La ley generó fuertes debates entre los partidos políticos y los sindicatos, que temen que pueda precarizar las condiciones laborales.";"trome";"2021-03-02";"2"
"La Selección Argentina se prepara para el Mundial de Qatar";"NA";"NA";"La Selección Argentina se prepara para el Mundial de Qatar, que se disputará a fines de este año. El equipo dirigido por Lionel Scaloni se encuentra en plena concentración y realizando entrenamientos intensivos para llegar en la mejor forma al torneo.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció un nuevo plan de obras públicas que incluye la construcción de carreteras, hospitales y escuelas. El plan busca reactivar la economía y generar empleo. La inversión total estimada es de 10.000 millones de dólares.";"trome";"2021-03-02";"2"
"El Gobierno autorizó la importación de autos usados";"NA";"NA";"El Gobierno autorizó la importación de autos usados para aliviar la falta de vehículos nuevos y bajar los precios. La medida generó críticas de los fabricantes locales, que temen que pueda afectar la producción nacional.";"trome";"2021-03-02";"2"
