"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Exportadores buscan mejora tributaria","Las entidades comerciales expresan frustración por falta de medidas gubernamentales dirigidas a revitalizar cifras decrecientes en exportaciones, especialmente criticando tasas impositivas insuficientes.","correo",2015-07-08,"Exportadores buscan mejora tributaria. Las entidades comerciales expresan frustración por falta de medidas gubernamentales dirigidas a revitalizar cifras decrecientes en exportaciones, especialmente criticando tasas impositivas insuficientes.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.3266,"-1","Unknown",0.0234
"Promulgación de nuevas regulaciones tributarias favorecen investigación científica","El Gobierno implementará incentivos fiscales bajo la nueva Ley de Promoción de Investigación Científica, otorgándoles a las corporaciones la capacidad de deducir hasta 175% de sus gastos realizados en proyectos de innovación tecnológica desarrollados dentro del país.","correo",2015-03-14,"Promulgación de nuevas regulaciones tributarias favorecen investigación científica. El Gobierno implementará incentivos fiscales bajo la nueva Ley de Promoción de Investigación Científica, otorgándoles a las corporaciones la capacidad de deducir hasta 175% de sus gastos realizados en proyectos de innovación tecnológica desarrollados dentro del país.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0816,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0697
"GOBIERNO BUSCA PASAR PRESUPUESTO DE UN PROYECTO A OTROS","El Ministerio de Economía y Finanzas (MEF) está preparándose para establecer regulaciones que faciliten la redistribución rápida de fondos asignados a ciertos proyectos de infraestructura pública. Entre enero y marzo, hubo una reducción significativa de más del 50% en la inversión realizada por gobiernos regionales y municipales, contrastando con un incremento del 20% en la inversión gubernamental central.","correo",2015-04-11,"GOBIERNO BUSCA PASAR PRESUPUESTO DE UN PROYECTO A OTROS. El Ministerio de Economía y Finanzas (MEF) está preparándose para establecer regulaciones que faciliten la redistribución rápida de fondos asignados a ciertos proyectos de infraestructura pública. Entre enero y marzo, hubo una reducción significativa de más del 50% en la inversión realizada por gobiernos regionales y municipales, contrastando con un incremento del 20% en la inversión gubernamental central.","-1","Unknown",0.0093,"-1","Unknown",0.0083,"169","ministerio economia finanzas, ministerio economia, ministerio economia destaca, plan nacional infraestructura, infraestructura competitividad",1
"Italia legisla uniones civiles homoparentales","Legisladores italianos aprobaron nuevas regulaciones que reconocen derechos matrimoniales equivalentes para parejas del mismo sexo, siguiendo tendencias europeas contemporáneas.","correo",2016-05-12,"Italia legisla uniones civiles homoparentales. Legisladores italianos aprobaron nuevas regulaciones que reconocen derechos matrimoniales equivalentes para parejas del mismo sexo, siguiendo tendencias europeas contemporáneas.","69","uniones homosexuales, matrimonio homosexual, matrimonio igualitario, parejas homosexuales, igualdad derechos",0.2435,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0286,"78","matrimonio igualitario, proyecto union civil, uniones homosexuales, uniones civiles, mismo sexo",1
NA,"Un tribunal federal dictaminó que el presidente Trump está obligado a pagar impuestos federales retroactivamente durante años fiscales anteriores.","correo",2016-05-12,"Un tribunal federal dictaminó que el presidente Trump está obligado a pagar impuestos federales retroactivamente durante años fiscales anteriores.","-1","Unknown",0.0305,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0313,"-1","Unknown",0.0118
"Contribuyentes deben actualizar declaración de Impuesto a la Rentas","La Superintendencia Nacional de Aduanas y Tributos Internos (Sunat) insta a quienes reciben gratificaciones extraordinarias a ajustarse conforme a regulaciones fiscales vigentes, evitando así multas potencialmente severas.","correo",2015-08-03,"Contribuyentes deben actualizar declaración de Impuesto a la Rentas. La Superintendencia Nacional de Aduanas y Tributos Internos (Sunat) insta a quienes reciben gratificaciones extraordinarias a ajustarse conforme a regulaciones fiscales vigentes, evitando así multas potencialmente severas.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.0975,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0725,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0425
"Justificación del aumento del déficit fiscal al 3%","En medio de preocupación económica, el Gobierno decide aumentar el déficit fiscal al 3% para enfrentar la coyuntura internacional más adversa de lo esperado y mitigar el impacto del Fenómeno de El Niño.","correo",2015-08-30,"Justificación del aumento del déficit fiscal al 3%. En medio de preocupación económica, el Gobierno decide aumentar el déficit fiscal al 3% para enfrentar la coyuntura internacional más adversa de lo esperado y mitigar el impacto del Fenómeno de El Niño.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.138,"3","crecimiento economico, expectativas economicas, producto bruto interno, optimistas, optimismo",0.0694,"169","ministerio economia finanzas, ministerio economia, ministerio economia destaca, plan nacional infraestructura, infraestructura competitividad",0.019
"Avances Legales Prometen Revitalización Sectorial","Tras décadas de incertidumbre regulatoria, la publicación de regulaciones complementarias a la Ley Forestal de 2011 marca un hito clave para revitalizar el sector forestal, catalizador futuro del crecimiento económico nacional. Con nuevas normativas clarificadoras, se vislumbra un aumento sustancial de inversiones superiores a los diez mil millones de dólares, ampliando considerablemente las oportunidades comerciales y mitigando importaciones innecesarias. Coordinaciones multisectoriales han jugado roles cruciales en este contexto legislativo renovado, augurando duplicación de exportaciones y mejoras tangibles en la conservación medioambiental.","correo",2015-09-30,"Avances Legales Prometen Revitalización Sectorial. Tras décadas de incertidumbre regulatoria, la publicación de regulaciones complementarias a la Ley Forestal de 2011 marca un hito clave para revitalizar el sector forestal, catalizador futuro del crecimiento económico nacional. Con nuevas normativas clarificadoras, se vislumbra un aumento sustancial de inversiones superiores a los diez mil millones de dólares, ampliando considerablemente las oportunidades comerciales y mitigando importaciones innecesarias. Coordinaciones multisectoriales han jugado roles cruciales en este contexto legislativo renovado, augurando duplicación de exportaciones y mejoras tangibles en la conservación medioambiental.","-1","Unknown",0.0247,"-1","Unknown",0.038,"169","ministerio economia finanzas, ministerio economia, ministerio economia destaca, plan nacional infraestructura, infraestructura competitividad",1
"Problemas de Informalidad Más Allá de Impuestos","Analizando la economía informal, Eugenio D’ Medina argumenta que el problema radica profundamente en la relación estado-sociedad. Sugiere reformas estructurales hacia un Estado eficiente capaz de ofrecer mejores condiciones económicas y reducir incentivos para permanecer en la informalidad.","correo",2016-01-09,"Problemas de Informalidad Más Allá de Impuestos. Analizando la economía informal, Eugenio D’ Medina argumenta que el problema radica profundamente en la relación estado-sociedad. Sugiere reformas estructurales hacia un Estado eficiente capaz de ofrecer mejores condiciones económicas y reducir incentivos para permanecer en la informalidad.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.2295,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.2329,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.022
"Reforma tributaria podría beneficiar industrias locales","Durante el próximo debate, legisladores discuten modificaciones potenciales al Impuesto Selectivo al Consumo (ISC) destinado a productos específicos como la cerveza. Esto podría influir positivamente en pequeñas y medianas empresas productoras.","correo",2015-11-30,"Reforma tributaria podría beneficiar industrias locales. Durante el próximo debate, legisladores discuten modificaciones potenciales al Impuesto Selectivo al Consumo (ISC) destinado a productos específicos como la cerveza. Esto podría influir positivamente en pequeñas y medianas empresas productoras.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.178,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.2255,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0427
"Prohibición de maltrato animal","Una nueva legislación prohíbe el maltrato a los animales, ofreciendo protección legal mediante multas económicas severas y cárcel para infractores. Esta normativa representa un avance importante en derechos animales dentro del contexto local.","correo",2015-11-29,"Prohibición de maltrato animal. Una nueva legislación prohíbe el maltrato a los animales, ofreciendo protección legal mediante multas económicas severas y cárcel para infractores. Esta normativa representa un avance importante en derechos animales dentro del contexto local.","112","bienestar animal, maltrato animal, animales domesticos, animales, mascota",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0268,"-1","Unknown",0.0036
"Cambios Estratégicos de la SUNAT para Incrementar Cumplimientos Voluntarios","Descripción de nuevos métodos empleados por la SUNAT para ampliar la base impositiva evitando clausurar negocios menores y favoreciendo el pago voluntario de contribuciones fiscales.","correo",2015-10-29,"Cambios Estratégicos de la SUNAT para Incrementar Cumplimientos Voluntarios. Descripción de nuevos métodos empleados por la SUNAT para ampliar la base impositiva evitando clausurar negocios menores y favoreciendo el pago voluntario de contribuciones fiscales.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.1401,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.2699,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.1131
"Reformular Estrategias Económicas Regionales","Con más de 15,000 compañías evadiendo impuestos, existe una urgente necesidad de reformular las estrategias regionales para incentivar la formalización empresarial y garantizar contribuciones equitativas al desarrollo fiscal del estado.","correo",2015-10-28,"Reformular Estrategias Económicas Regionales. Con más de 15,000 compañías evadiendo impuestos, existe una urgente necesidad de reformular las estrategias regionales para incentivar la formalización empresarial y garantizar contribuciones equitativas al desarrollo fiscal del estado.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",1,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0415
"Indicadores Económicos","Impulsará inversiones. Pagarán menos impuestos Para incentivar la minería y electricidad, los proyectos llaves en mano exentarían del IGV según Gustavo Romero, director de Sunat. Esta medida favorecerá la inversión reduciéndo costos fiscales significativos previamente exigidos.","correo",2015-01-09,"Indicadores Económicos. Impulsará inversiones. Pagarán menos impuestos Para incentivar la minería y electricidad, los proyectos llaves en mano exentarían del IGV según Gustavo Romero, director de Sunat. Esta medida favorecerá la inversión reduciéndo costos fiscales significativos previamente exigidos.","-1","Unknown",0.0301,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.2085,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0469
"Microempresas señalan dificultades con Exporta Facil","Encuestas indican que pequeñas y medianas empresas experimentan obstáculos financieros usando el programa gubernamental diseñado para facilitar exportaciones, solicitando extensión del límite máximo de comercio exterior a $10,000 dólares y mejora en servicios al usuario.","correo",2015-03-09,"Microempresas señalan dificultades con Exporta Facil. Encuestas indican que pequeñas y medianas empresas experimentan obstáculos financieros usando el programa gubernamental diseñado para facilitar exportaciones, solicitando extensión del límite máximo de comercio exterior a $10,000 dólares y mejora en servicios al usuario.","-1","Unknown",0.0253,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0496,"-1","Unknown",0.0154
"Acortar proceso de formalización podría tener más efecto que medidas tributarias","Cuanto menos impuestos haya, tanto más fácil será hacer negocios, señalan expertos quienes consideran que simplificar procesos para convertir a una empresa informal en formal pueda tener más efecto positivo que simplemente aplicar cambios fiscales.","correo",2016-08-08,"Acortar proceso de formalización podría tener más efecto que medidas tributarias. Cuanto menos impuestos haya, tanto más fácil será hacer negocios, señalan expertos quienes consideran que simplificar procesos para convertir a una empresa informal en formal pueda tener más efecto positivo que simplemente aplicar cambios fiscales.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",0.3786,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.2562,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0288
"Manejo responsable de las finanzas públicas","Exigen salvaguardar los equilibrios fiscales y analizar proyecto a proyecto.","correo",2015-11-28,"Manejo responsable de las finanzas públicas. Exigen salvaguardar los equilibrios fiscales y analizar proyecto a proyecto.","-1","Unknown",0.0228,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0776,"-1","Unknown",0.0052
"¿REDUCIR EL IGV?","Julio Schiappa Pietra reflexiona sobre la posibilidad de rebajar temporalmente el Impuesto General a las Ventas (IGV) como parte de una reforma fiscal más amplia destinada a aumentar la eficiencia económica y redistribución social. Argumenta que cualquier pérdida impositiva momentánea podría mitigarse eventualmente expandiendo la base contributiva y ajustando otras cargas fiscales.","correo",2016-09-04,"¿REDUCIR EL IGV?. Julio Schiappa Pietra reflexiona sobre la posibilidad de rebajar temporalmente el Impuesto General a las Ventas (IGV) como parte de una reforma fiscal más amplia destinada a aumentar la eficiencia económica y redistribución social. Argumenta que cualquier pérdida impositiva momentánea podría mitigarse eventualmente expandiendo la base contributiva y ajustando otras cargas fiscales.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0602,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.1609
