"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. La compra de los aviones tiene como objetivo modernizar la flota aérea de combate del país y fortalecer la defensa nacional.";"trome";"2021-03-02";"2"
"El dólar blue toca un nuevo máximo histórico";"NA";"NA";"El dólar blue alcanzó un nuevo máximo histórico en el mercado informal, cotizando a $785. La suba se debe a la incertidumbre económica y política, y a la alta demanda de divisas. Los analistas advierten que la brecha entre el dólar oficial y el blue seguirá ampliándose si no se toman medidas para estabilizar la economía.";"trome";"2021-03-02";"2"
"La inflación sigue descontrolada";"NA";"NA";"La inflación en Argentina sigue descontrolada, alcanzando un 104,2% en los últimos doce meses. Los precios de los alimentos y las bebidas son los que más aumentaron, lo que afecta el poder adquisitivo de los ciudadanos. El Gobierno anunció nuevas medidas para controlar la inflación, pero los economistas dudan de su efectividad.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo aumento en las tarifas de los servicios públicos";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de los servicios públicos, como la electricidad, el gas y el agua. El aumento se justifica por la necesidad de cubrir los costos de producción y garantizar la calidad del servicio. La medida generó críticas de la oposición y de los usuarios, que denuncian que no pueden pagar las tarifas.";"trome";"2021-03-02";"2"
"El dólar oficial supera los $350";"NA";"NA";"El dólar oficial superó los $350 en el mercado cambiario, luego de que el Banco Central decidiera devaluar la moneda. La devaluación tiene como objetivo mejorar la competitividad de las exportaciones y reducir el déficit comercial. La medida generó preocupación en los sectores productivos, que temen un aumento de los costos.";"trome";"2021-03-02";"2"
"El Gobierno lanza un nuevo plan de viviendas";"NA";"NA";"El Gobierno lanzó un nuevo plan de viviendas para facilitar el acceso a la vivienda propia a familias de bajos ingresos. El plan contempla la construcción de nuevas viviendas y la entrega de créditos hipotecarios a tasas subsidiadas. La medida generó expectativas en los sectores más vulnerables de la población.";"trome";"2021-03-02";"2"
"La Selección Argentina se prepara para el Mundial";"NA";"NA";"La Selección Argentina se prepara para el Mundial de fútbol que se disputará en Qatar. El equipo dirigido por Lionel Scaloni se encuentra en plena concentración y realizando entrenamientos intensivos. Los hinchas argentinos esperan con ansias el debut del equipo en el torneo.";"trome";"2021-03-02";"2"
"El Gobierno anuncia medidas para combatir la sequía";"NA";"NA";"El Gobierno anunció una serie de medidas para combatir la sequía que afecta a varias provincias del país. Las medidas incluyen la construcción de nuevas represas, la perforación de pozos y la implementación de programas de riego. El objetivo es garantizar el suministro de agua para la agricultura y el consumo humano.";"trome";"2021-03-02";"2"
"El Senado aprobó la ley de alquileres";"NA";"NA";"El Senado aprobó la ley de alquileres, que establece nuevos derechos y obligaciones para inquilinos y propietarios. La ley contempla la posibilidad de actualizar los contratos de alquiler en función de la inflación y establece límites a los aumentos. La medida generó debate entre los diferentes sectores.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo aumento en las jubilaciones";"NA";"NA";"El Gobierno anunció un nuevo aumento en las jubilaciones y pensiones, que se aplicará a partir del próximo mes. El aumento se basa en la evolución de la inflación y tiene como objetivo proteger el poder adquisitivo de los jubilados. La medida generó críticas de la oposición, que la considera insuficiente.";"trome";"2021-03-02";"2"
