"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"NA";"NA";"NA";"El presidente Alberto Fernández anunció hoy el pago de un bono de $7000 para jubilados y pensionados. El anuncio se realizó en un acto en Casa Rosada, donde el mandatario estuvo acompañado por varios de sus ministros. El bono se pagará en dos cuotas de $3500 en enero y febrero, y alcanzará a más de 7 millones de personas. Fernández destacó que esta medida busca aliviar el impacto de la inflación en los ingresos de los jubilados y pensionados, y aseguró que el gobierno seguirá trabajando para mejorar su calidad de vida. Por su parte, representantes de organizaciones de jubilados y pensionados recibieron el anuncio con satisfacción, aunque pidieron que se evalúen otras medidas para garantizar un aumento permanente de las jubilaciones.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El dólar blue cerró hoy a $320, marcando un nuevo máximo histórico. La cotización del dólar paralelo sigue en ascenso, impulsada por la incertidumbre económica y la demanda de divisas. Analistas advierten que la brecha entre el dólar oficial y el dólar blue podría seguir ampliándose en las próximas semanas, lo que podría generar tensiones en la economía. El Banco Central intervino en el mercado cambiario para tratar de contener la subida del dólar, pero sin resultados significativos.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de créditos para pequeñas y medianas empresas (PyMEs). El programa, que cuenta con una financiación de $500 millones, permitirá a las PyMEs acceder a créditos a tasas subsidiadas para financiar sus proyectos de inversión y capital de trabajo. El objetivo del programa es impulsar el crecimiento económico y generar empleo. Las PyMEs interesadas en acceder a los créditos podrán presentar sus solicitudes a través de las entidades bancarias adheridas al programa.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Salud informó hoy que se registraron 500 nuevos casos de dengue en las últimas 24 horas. Con este aumento, el número total de casos confirmados en lo que va del año asciende a 10.000. Las autoridades sanitarias alertaron sobre el riesgo de una epidemia de dengue y recomendaron a la población tomar medidas preventivas para evitar la propagación del virus, como eliminar los criaderos de mosquitos y utilizar repelente.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Servicio Meteorológico Nacional (SMN) informó que se espera una ola de calor para los próximos días en varias provincias del país. Las temperaturas podrían superar los 40 grados en algunas zonas, lo que representa un riesgo para la salud de la población. Las autoridades sanitarias recomendaron tomar medidas preventivas para evitar los golpes de calor, como hidratarse adecuadamente, evitar la exposición al sol en las horas pico y utilizar ropa ligera.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un aumento en las tarifas del transporte público en todo el país. El aumento, que promedia el 20%, se justifica por el aumento de los costos de combustible y mantenimiento. La medida generó críticas por parte de la oposición, que la calificó de regresiva y perjudicial para los sectores más vulnerables de la población.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Educación informó hoy que se suspenden las clases en todas las escuelas públicas y privadas del país debido a un paro docente. El paro, convocado por los sindicatos de docentes, se realiza en reclamo de mejores salarios y condiciones laborales. Las autoridades educativas lamentaron la medida y pidieron a los docentes que reconsideren su postura.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo plan de viviendas para familias de bajos recursos. El plan, que cuenta con una financiación de $1000 millones, permitirá construir 5000 viviendas en todo el país. Las viviendas se construirán en terrenos públicos y serán entregadas a las familias de forma gratuita. El objetivo del plan es reducir el déficit habitacional y mejorar la calidad de vida de las familias más vulnerables.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Ministerio de Trabajo informó hoy que la tasa de desempleo se mantuvo estable en el 8% durante el último trimestre. Según los datos oficiales, el número de desempleados se mantuvo en 1,5 millones de personas. Las autoridades laborales destacaron que la economía sigue generando empleo, pero a un ritmo lento. El sector de servicios fue el que más empleo generó durante el último trimestre.";"trome";"2021-03-02";"2"
"NA";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de becas para estudiantes universitarios. El programa, que cuenta con una financiación de $200 millones, permitirá otorgar becas a 10.000 estudiantes de bajos recursos. Las becas cubrirán los gastos de matrícula, materiales de estudio y transporte. El objetivo del programa es garantizar el acceso a la educación superior para todos los estudiantes.";"trome";"2021-03-02";"2"
