"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. La compra de los aviones tiene como objetivo modernizar la flota aérea de combate de las Fuerzas Armadas y fortalecer la defensa nacional.";"trome";"2021-03-02";"2"
"El dólar blue toca un máximo histórico";"La cotización alcanza los $350";"NA";"El dólar blue alcanzó hoy un nuevo máximo histórico en el mercado informal, llegando a cotizar a $350. La suba se debe a la incertidumbre económica y política, y a la alta demanda de divisas. Los analistas advierten que la brecha entre el dólar oficial y el blue podría seguir ampliándose en los próximos días.";"trome";"2021-03-02";"2"
"La inflación sigue descontrolada";"El índice de precios al consumidor aumentó 6,1% en marzo";"NA";"La inflación en Argentina sigue siendo un problema grave. En marzo, el índice de precios al consumidor aumentó 6,1%, lo que representa una aceleración con respecto al mes anterior. Los alimentos y las bebidas fueron los rubros que más aumentaron, lo que afecta especialmente a los sectores más vulnerables de la población.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de choque contra la inflación";"NA";"NA";"El Gobierno anunció hoy un nuevo plan de choque contra la inflación, que incluye medidas como la reducción del gasto público, el aumento de las tasas de interés y la promoción de la competencia. El objetivo es controlar la subida de los precios y proteger el poder adquisitivo de los ciudadanos.";"trome";"2021-03-02";"2"
"El Banco Central sube la tasa de interés";"NA";"NA";"El Banco Central de la República Argentina (BCRA) subió hoy la tasa de interés de referencia en 3 puntos porcentuales, hasta el 47%. La medida busca enfriar la economía y contener la inflación, pero podría afectar el crecimiento económico.";"trome";"2021-03-02";"2"
"El dólar oficial supera los $200";"NA";"NA";"El dólar oficial superó hoy la barrera de los $200 en el mercado cambiario. La suba se debe a la alta demanda de divisas y a la escasez de reservas del Banco Central. La brecha entre el dólar oficial y el blue sigue siendo amplia.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo aumento en las tarifas de energía";"NA";"NA";"El Gobierno anunció hoy un nuevo aumento en las tarifas de energía, que afectará a todos los usuarios del país. El aumento se justifica por la necesidad de cubrir los costos de producción y de mantener la calidad del servicio. La medida generó críticas de la oposición y de los usuarios.";"trome";"2021-03-02";"2"
"El INDEC publica los datos de pobreza";"NA";"NA";"El Instituto Nacional de Estadística y Censos (INDEC) publicó hoy los datos de pobreza correspondientes al primer semestre del año. Según los datos, la pobreza afecta al 39% de la población, lo que representa un aumento con respecto al período anterior. La indigencia afecta al 9,3% de la población.";"trome";"2021-03-02";"2"
"El Gobierno lanza un nuevo programa de asistencia social";"NA";"NA";"El Gobierno lanzó hoy un nuevo programa de asistencia social destinado a las familias más vulnerables. El programa incluye una ayuda económica mensual, acceso a servicios de salud y educación, y capacitación laboral. El objetivo es reducir la pobreza y la desigualdad.";"trome";"2021-03-02";"2"
"El Gobierno anuncia medidas para controlar la subida del combustible";"NA";"NA";"El Gobierno anunció hoy una serie de medidas para controlar la subida del precio del combustible, que incluye la reducción de impuestos, la promoción de la producción nacional y la importación de combustibles. El objetivo es proteger a los consumidores y evitar un impacto negativo en la economía.";"trome";"2021-03-02";"2"
"El Gobierno autoriza la importación de autos usados";"NA";"NA";"El Gobierno autorizó la importación de autos usados con el objetivo de aumentar la oferta y reducir los precios. La medida generó críticas de los fabricantes nacionales, que temen una competencia desleal.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció hoy un nuevo plan de obras públicas que incluye la construcción de carreteras, hospitales, escuelas y viviendas. El objetivo es generar empleo y dinamizar la economía.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo aumento en las jubilaciones";"NA";"NA";"El Gobierno anunció hoy un nuevo aumento en las jubilaciones y pensiones, que beneficiará a más de 6 millones de personas. El aumento se aplicará a partir del mes de julio y se basará en la evolución de la inflación.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de créditos para pymes";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de créditos para pequeñas y medianas empresas (pymes), con el objetivo de fomentar la inversión y el crecimiento económico. El programa incluye tasas de interés preferenciales y plazos de pago extendidos.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de turismo";"NA";"NA";"El Gobierno anunció hoy un nuevo plan de turismo, con el objetivo de promover el desarrollo del sector y atraer visitantes extranjeros. El plan incluye la creación de nuevos destinos turísticos, la mejora de la infraestructura y la promoción de la cultura.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de vivienda";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de vivienda, con el objetivo de facilitar el acceso a la vivienda propia a las familias de bajos ingresos. El programa incluye créditos hipotecarios subsidiados, la construcción de viviendas sociales y la regularización de asentamientos informales.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de empleo";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de empleo, con el objetivo de reducir el desempleo y mejorar la calidad del trabajo. El programa incluye incentivos para la contratación de jóvenes, la capacitación laboral y el apoyo a los emprendedores.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de salud";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de salud, con el objetivo de mejorar el acceso a la atención médica y fortalecer el sistema de salud. El programa incluye la construcción de nuevos hospitales, la contratación de personal médico y la ampliación de la cobertura de salud.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de educación";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de educación, con el objetivo de mejorar la calidad de la educación y ampliar el acceso a la educación. El programa incluye la construcción de nuevas escuelas, la capacitación de docentes y la ampliación de la cobertura educativa.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de seguridad";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de seguridad, con el objetivo de reducir la delincuencia y mejorar la seguridad ciudadana. El programa incluye el aumento de la presencia policial, la inversión en tecnología y la implementación de programas de prevención del delito.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de cultura";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de cultura, con el objetivo de promover la cultura y el arte. El programa incluye la financiación de proyectos culturales, la organización de eventos culturales y la promoción del patrimonio cultural.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de deporte";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de deporte, con el objetivo de promover el deporte y la actividad física. El programa incluye la construcción de instalaciones deportivas, la financiación de eventos deportivos y la promoción del deporte en las escuelas.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de medio ambiente";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de medio ambiente, con el objetivo de proteger el medio ambiente y promover el desarrollo sostenible. El programa incluye la protección de los recursos naturales, la promoción de las energías renovables y la gestión de los residuos.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de ciencia y tecnología";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de ciencia y tecnología, con el objetivo de promover la investigación científica y el desarrollo tecnológico. El programa incluye la financiación de proyectos de investigación, la creación de centros de investigación y la promoción de la innovación.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo social";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo social, con el objetivo de reducir la pobreza y la desigualdad. El programa incluye la implementación de programas de asistencia social, la promoción del empleo y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo rural";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo rural, con el objetivo de promover el desarrollo económico y social de las zonas rurales. El programa incluye la inversión en infraestructura, la promoción de la agricultura y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo urbano";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo urbano, con el objetivo de mejorar la calidad de vida en las ciudades. El programa incluye la inversión en infraestructura, la promoción de la vivienda y la mejora de los servicios públicos.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo productivo";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo productivo, con el objetivo de promover el crecimiento económico y la creación de empleo. El programa incluye la inversión en infraestructura, la promoción de la innovación y la mejora de la competitividad.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo institucional";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo institucional, con el objetivo de fortalecer las instituciones públicas y mejorar la calidad de la gestión pública. El programa incluye la capacitación de los funcionarios públicos, la modernización de los procesos administrativos y la promoción de la transparencia.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo territorial";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo territorial, con el objetivo de promover el desarrollo equilibrado de las diferentes regiones del país. El programa incluye la inversión en infraestructura, la promoción de la actividad económica y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo humano";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo humano, con el objetivo de mejorar la calidad de vida de las personas y promover el desarrollo de sus capacidades. El programa incluye la inversión en educación, salud, vivienda y empleo.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo sostenible";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo sostenible, con el objetivo de promover el desarrollo económico y social respetando el medio ambiente y los recursos naturales. El programa incluye la inversión en energías renovables, la gestión de los residuos y la protección de la biodiversidad.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo local";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo local, con el objetivo de promover el desarrollo económico y social de las comunidades locales. El programa incluye la inversión en infraestructura, la promoción de la actividad económica y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo regional";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo regional, con el objetivo de promover el desarrollo económico y social de las diferentes regiones del país. El programa incluye la inversión en infraestructura, la promoción de la actividad económica y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo nacional";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo nacional, con el objetivo de promover el desarrollo económico y social del país en su conjunto. El programa incluye la inversión en infraestructura, la promoción de la actividad económica y la mejora de la calidad de vida.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo global";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo global, con el objetivo de promover el desarrollo económico y social del país en el contexto global. El programa incluye la promoción del comercio internacional, la inversión extranjera y la cooperación internacional.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de desarrollo integral";"NA";"NA";"El Gobierno anunció hoy un nuevo programa de desarrollo integral, con el objetivo de promover el desarrollo económico, social, ambiental y cultural del país en su conjunto. El programa incluye la inversión en infraestructura, la promoción de la actividad económica, la mejora de la calidad de vida y la protección del medio ambiente.";"trome";"2021-03-02";"2"
