"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno Nacional anunció el incremento de las pensiones";"NA";"Presidencia de la República";"En una conferencia de prensa realizada esta mañana, el Gobierno Nacional anunció un incremento en las pensiones del 8% para los jubilados y pensionados del sector público y privado. El ministro de Hacienda, Carlos Acevedo, explicó que esta medida busca aliviar el impacto de la inflación en el poder adquisitivo de los adultos mayores. El incremento se aplicará a partir del próximo mes y beneficiará a más de un millón de personas en todo el país. El Gobierno también anunció que se están estudiando medidas adicionales para mejorar el sistema de pensiones a largo plazo.";"trome";"2021-03-02";"2"
"Descubren nueva especie de orquídea en la Amazonía";"NA";"Equipo de Investigadores de la Universidad Nacional";"Un equipo de investigadores de la Universidad Nacional ha descubierto una nueva especie de orquídea en la selva amazónica. La orquídea, que ha sido bautizada como 'Amazonia splendens', se caracteriza por sus flores de colores brillantes y su aroma exótico. Los investigadores creen que esta especie es única en el mundo y que podría tener propiedades medicinales. El descubrimiento se realizó durante una expedición científica en la región del río Putumayo. Los investigadores están trabajando en la conservación de esta nueva especie y en la protección de su hábitat.";"trome";"2021-03-02";"2"
"La inflación sigue siendo un desafío para la economía";"NA";"Banco Central de Colombia";"El Banco Central de Colombia informó que la inflación sigue siendo un desafío para la economía colombiana. En el último mes, la inflación se ubicó en el 13,12%, lo que representa un aumento con respecto al mes anterior. El Banco Central explicó que este aumento se debe a factores externos, como el aumento de los precios del petróleo y los alimentos a nivel mundial. El Banco Central anunció que está tomando medidas para controlar la inflación, como el aumento de las tasas de interés y la restricción del crédito. Sin embargo, el Banco Central advirtió que la inflación podría seguir siendo alta en los próximos meses.";"trome";"2021-03-02";"2"
"El dólar se mantiene estable frente al peso";"NA";"Reuters";"El dólar se mantuvo estable frente al peso colombiano en la jornada de hoy. La tasa de cambio se ubicó en $4.150 pesos por dólar. Los analistas explican que la estabilidad del dólar se debe a la intervención del Banco de la República en el mercado cambiario. El Banco de la República ha estado comprando dólares para evitar una depreciación del peso. Sin embargo, los analistas advierten que la volatilidad en los mercados internacionales podría afectar la estabilidad del peso en los próximos días.";"trome";"2021-03-02";"2"
"El Real Madrid ganó la Champions League";"NA";"EFE";"El Real Madrid ganó la Champions League por decimocuarta vez en su historia. El equipo español venció al Liverpool en la final, que se disputó en París. El partido terminó con un marcador de 1-0 a favor del Real Madrid. El gol del Real Madrid fue marcado por Vinicius Junior. Con esta victoria, el Real Madrid se consolida como el club más ganador de la Champions League.";"trome";"2021-03-02";"2"
"Aumentan los casos de dengue en el país";"NA";"Ministerio de Salud";"El Ministerio de Salud informó que han aumentado los casos de dengue en el país. En las últimas semanas, se han registrado más de 10.000 casos de dengue en diferentes regiones del país. El Ministerio de Salud pidió a la población tomar medidas preventivas para evitar la propagación del dengue, como eliminar los criaderos de mosquitos y utilizar repelente.";"trome";"2021-03-02";"2"
"El Gobierno lanza programa de vivienda gratuita";"NA";"Presidencia de la República";"El Gobierno Nacional lanzó un programa de vivienda gratuita para familias de bajos recursos. El programa, que se llama 'Mi Casa', beneficiará a más de 50.000 familias en todo el país. El Gobierno explicó que el programa busca reducir el déficit de vivienda y mejorar las condiciones de vida de las familias más vulnerables.";"trome";"2021-03-02";"2"
"La Selección Colombia se prepara para el Mundial";"NA";"El Tiempo";"La Selección Colombia se prepara para el Mundial de Fútbol que se celebrará en Qatar. El equipo colombiano se encuentra en un campamento de entrenamiento en Barranquilla. El entrenador de la Selección Colombia, Carlos Queiroz, ha convocado a 26 jugadores para el Mundial. La Selección Colombia se encuentra en el grupo H junto con Inglaterra, Senegal y Polonia.";"trome";"2021-03-02";"2"
"Descubren nueva especie de rana en el Chocó";"NA";"Universidad de Antioquia";"Un equipo de investigadores de la Universidad de Antioquia ha descubierto una nueva especie de rana en la región del Chocó. La rana, que ha sido bautizada como 'Chocoana splendens', se caracteriza por sus colores brillantes y su pequeño tamaño. Los investigadores creen que esta especie es endémica de la región y que podría estar en peligro de extinción.";"trome";"2021-03-02";"2"
"El precio del petróleo sigue en aumento";"NA";"Bloomberg";"El precio del petróleo sigue en aumento en los mercados internacionales. El barril de petróleo Brent se cotiza a más de 110 dólares. El aumento del precio del petróleo se debe a la tensión geopolítica en Oriente Medio y a la alta demanda de energía.";"trome";"2021-03-02";"2"
"El Gobierno anuncia medidas para proteger el medio ambiente";"NA";"Ministerio de Ambiente";"El Gobierno Nacional anunció una serie de medidas para proteger el medio ambiente. Entre las medidas anunciadas se encuentran la creación de nuevas áreas protegidas, la promoción de energías renovables y la lucha contra la deforestación.";"trome";"2021-03-02";"2"
"La inflación en alimentos afecta a las familias";"NA";"Revista Dinero";"La inflación en alimentos está afectando a las familias colombianas. El precio de los alimentos ha aumentado significativamente en los últimos meses, lo que ha dificultado el acceso a una alimentación adecuada para muchas familias.";"trome";"2021-03-02";"2"
"El Real Madrid presenta su nuevo estadio";"NA";"Marca";"El Real Madrid presentó su nuevo estadio, el Santiago Bernabéu. El estadio ha sido remodelado y cuenta con las últimas tecnologías. El nuevo estadio tiene capacidad para más de 80.000 espectadores.";"trome";"2021-03-02";"2"
"El dólar alcanza un nuevo récord histórico";"NA";"El Espectador";"El dólar alcanzó un nuevo récord histórico frente al peso colombiano. La tasa de cambio superó los $4.300 pesos por dólar. La depreciación del peso se debe a la incertidumbre económica y política en el país.";"trome";"2021-03-02";"2"
"El Gobierno anuncia subsidio para el transporte público";"NA";"Presidencia de la República";"El Gobierno Nacional anunció un subsidio para el transporte público. El subsidio beneficiará a más de 5 millones de usuarios del transporte público en todo el país. El objetivo del subsidio es aliviar el impacto del aumento de los precios de los combustibles en el bolsillo de los ciudadanos.";"trome";"2021-03-02";"2"
"El Banco de la República sube las tasas de interés";"NA";"Portafolio";"El Banco de la República subió las tasas de interés en 0,5 puntos porcentuales. La tasa de interés de referencia se ubica en el 9,5%. El Banco de la República explicó que la decisión se tomó para controlar la inflación.";"trome";"2021-03-02";"2"
"El Gobierno lanza programa de becas para estudiantes";"NA";"Ministerio de Educación";"El Gobierno Nacional lanzó un programa de becas para estudiantes de bajos recursos. El programa beneficiará a más de 10.000 estudiantes en todo el país. El objetivo del programa es garantizar el acceso a la educación superior para todos los colombianos.";"trome";"2021-03-02";"2"
