"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Fortaleza del dólar beneficia pensiones","Incremento notable en el tipo de cambio favorece rendimientos adicionales en inversiones denominadas en dólares estadounidenses gestionadas por instituciones de seguridad social.","correo",2015-07-08,"Fortaleza del dólar beneficia pensiones. Incremento notable en el tipo de cambio favorece rendimientos adicionales en inversiones denominadas en dólares estadounidenses gestionadas por instituciones de seguridad social.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.1346,"23","previsional, sistema privado pensiones, pension, privadas fondos pensiones, privado pensiones",0.0966,"-1","Unknown",0.0311
"Promoción comercial ofrece incentivos notables","Oferta tecnológica presenta beneficios adicionales incentivando consumidores mediante programas especiales temporales.","correo",2015-03-14,"Promoción comercial ofrece incentivos notables. Oferta tecnológica presenta beneficios adicionales incentivando consumidores mediante programas especiales temporales.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0587,"-1","Unknown",0.0309,"-1","Unknown",0.0794
"Capturan mercaderías ilegalizadas masivas","Interceptación exitosa de carga considerable valorada económicamente importante interceptada en punto estratégico fronterizo.","correo",2015-03-14,"Capturan mercaderías ilegalizadas masivas. Interceptación exitosa de carga considerable valorada económicamente importante interceptada en punto estratégico fronterizo.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.3172,"26","clorhidrato cocaina, decomisaron, decomisan, incautan, narcotrafico",0.066,"27","kg clorhidrato cocaina, kilos cocaina, kg cocaina, clorhidrato cocaina, agentes antidrogas",0.0422
"","Denuncia irregularidades en proceso electoral de la UNMSM, atribuyendo manipulaciones sistémicas a grupos dominantes ideológicos adversos.","correo",2016-07-11,". Denuncia irregularidades en proceso electoral de la UNMSM, atribuyendo manipulaciones sistémicas a grupos dominantes ideológicos adversos.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0517,"-1","Unknown",0.0139,"-1","Unknown",0.0056
"Aplican medidas sanitarias urgentes","Servicios básicos suspendidos temporalmente afectando miles de hogares en regiones específicas debido a riesgos bacterianos detectados.","correo",2015-03-14,"Aplican medidas sanitarias urgentes. Servicios básicos suspendidos temporalmente afectando miles de hogares en regiones específicas debido a riesgos bacterianos detectados.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.015,"16","brotes epidemicos, casos dengue, mosquitos, alerta epidemiologica, propagacion viral",0.0148,"-1","Unknown",0.0147
"RESULTADOS POSITIVOS MINISTERIO DE EDUCACIÓN","Informe destaca eficiente gestión fiscal alcanzando récord inversiones en educación pública. Logros tangibles evidencian transformaciones estructurales positivas en ámbitos pedagógicos y administrativos escolares.","correo",2016-01-12,"RESULTADOS POSITIVOS MINISTERIO DE EDUCACIÓN. Informe destaca eficiente gestión fiscal alcanzando récord inversiones en educación pública. Logros tangibles evidencian transformaciones estructurales positivas en ámbitos pedagógicos y administrativos escolares.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0724,"-1","Unknown",0.0096,"15","ministerio educacion, sistema educativo, educacion basica, educacion publica, calidad educativa",0.0543
"‘Atacaban diciendo que era un Rey’","El sociólogo Carlos Fernández señala errores estratégicos de Alfredo Barnechea, afectándole posibilidades competitivas.","correo",2016-04-11,"‘Atacaban diciendo que era un Rey’. El sociólogo Carlos Fernández señala errores estratégicos de Alfredo Barnechea, afectándole posibilidades competitivas.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.4274,"-1","Unknown",0.0495,"-1","Unknown",0.0154
"","AFPS continúan optimizando estrategias de inversión enfocándose en maximización de beneficios futuros para socios. Estratégicamente distribuirán recursos ampliando alcance global mitigando riesgos inherentes al contexto económico variable.","correo",2015-04-08,". AFPS continúan optimizando estrategias de inversión enfocándose en maximización de beneficios futuros para socios. Estratégicamente distribuirán recursos ampliando alcance global mitigando riesgos inherentes al contexto económico variable.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",1,"-1","Unknown",0.0766,"-1","Unknown",0.0134
"Mazda lanza en el país su nuevo auto deportivo MX5","Descripción del lanzamiento del Mazda MX-5, enfocado en mantener las tradicionales características de ligereza, potencia moderada y tracción trasera, junto con nuevas mejoras técnicas y de confort. Destacan elementos como el sistema de mantenimiento de carriles y el sistema MyKey.","correo",2015-10-31,"Mazda lanza en el país su nuevo auto deportivo MX5. Descripción del lanzamiento del Mazda MX-5, enfocado en mantener las tradicionales características de ligereza, potencia moderada y tracción trasera, junto con nuevas mejoras técnicas y de confort. Destacan elementos como el sistema de mantenimiento de carriles y el sistema MyKey.","111","suv, promocion, mas beneficios, beneficios, sedan",0.1084,"29","agotar stock, premium, concesionarios, www, vehiculos",1,"100","toyota peru, bono descuento, bonos descuento, precios incluyen, concesionarios",0.127
"Ford presenta su auto de alta gama","Presentación del nuevo sedan Ford Fusion destacándose por tecnología avanzada, diseño deportivo y características innovadoras tales como sistemas automáticos de cambio, cámara y sensores de ayuda al conductor, además de múltiples airbags y funciones orientadas a mejorar la experiencia de conducción y seguridad.","correo",2015-10-31,"Ford presenta su auto de alta gama. Presentación del nuevo sedan Ford Fusion destacándose por tecnología avanzada, diseño deportivo y características innovadoras tales como sistemas automáticos de cambio, cámara y sensores de ayuda al conductor, además de múltiples airbags y funciones orientadas a mejorar la experiencia de conducción y seguridad.","111","suv, promocion, mas beneficios, beneficios, sedan",0.1236,"29","agotar stock, premium, concesionarios, www, vehiculos",1,"-1","Unknown",0.0408
