"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Convocatoria Asamblea General","Información relevante dirigida a stakeholders involucrados en decisiones corporativas importantes. Esta reunión será crucial para discusiones estratégicas relacionadas con operaciones actuales y planes futuros.","correo",2015-03-13,"Convocatoria Asamblea General. Información relevante dirigida a stakeholders involucrados en decisiones corporativas importantes. Esta reunión será crucial para discusiones estratégicas relacionadas con operaciones actuales y planes futuros.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0186,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0534,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.2784
"Reducción de Capital Social Construcciones Modulares S.A.","During shareholders meeting held September 25th, 2015, reduction of company capital was approved amounting to S/. 751,209.00 distributed amongst stakeholders following legal procedures outlined within corporate law regulations.","correo",2015-10-02,"Reducción de Capital Social Construcciones Modulares S.A.. During shareholders meeting held September 25th, 2015, reduction of company capital was approved amounting to S/. 751,209.00 distributed amongst stakeholders following legal procedures outlined within corporate law regulations.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.072,"1","concerning, towards, government, first, ministry",0.2044,"118","reducir capital social, reduccion capital social, reducir capital, reduccion capital, reduccion capital mediante",0.1957
"Convocatoria a Junta General de Accionistas AVINKA S.A.","De conformidad con el artículo 115° del Estatuto y 116° de la Ley General de Sociedades, se convoca a junta general ordinaria de accionistas de AVINKA S.A., a realizarse en primera convocatoria el día miércoles 02 de octubre del 2015 a horas 11:30 am en el local de la sociedad ubicado en Jr. Ayabaca 122 – 114 Distrito de San Juan de Miraflores, Provincia y Departamento de Lima, con el objetivo de tratar los siguientes temas de agenda: 1.- Aprobación de la memoria anual, correspondiente al ejercicio cerrado el 31 de diciembre del 2014. 2.- Presentación y aprobación del balance general y estado de ganancias y pérdidas correspondientes al ejercicio cerrado el 31 de diciembre del 2014. 3.- Aplicación de las utilidades correspondientes al ejercicio 2012. 4.- Aplicación de las utilidades correspondientes al ejercicio 2013. 5.- Aplicación de las utilidades correspondientes al ejercicio 2014. 6.- Aumento de capital. 7.- Modificación parcial del estatuto social. 8.- Elección de los miembros del directorio de la sociedad para el período 2015-2018. 9.- Determinación de la remuneración de los miembros del directorio. 10.- Designación de los auditors externos para el ejercicio 2015. 11.- Situación de la sociedad. En caso de no reunirse el quorum de ley, se cita en segunda convocatoria, en el mismo lugar y con la misma agenda para el día lunes 26 de octubre del 2015 a horas 11:30 am.","correo",2015-10-02,"Convocatoria a Junta General de Accionistas AVINKA S.A.. De conformidad con el artículo 115° del Estatuto y 116° de la Ley General de Sociedades, se convoca a junta general ordinaria de accionistas de AVINKA S.A., a realizarse en primera convocatoria el día miércoles 02 de octubre del 2015 a horas 11:30 am en el local de la sociedad ubicado en Jr. Ayabaca 122 – 114 Distrito de San Juan de Miraflores, Provincia y Departamento de Lima, con el objetivo de tratar los siguientes temas de agenda: 1.- Aprobación de la memoria anual, correspondiente al ejercicio cerrado el 31 de diciembre del 2014. 2.- Presentación y aprobación del balance general y estado de ganancias y pérdidas correspondientes al ejercicio cerrado el 31 de diciembre del 2014. 3.- Aplicación de las utilidades correspondientes al ejercicio 2012. 4.- Aplicación de las utilidades correspondientes al ejercicio 2013. 5.- Aplicación de las utilidades correspondientes al ejercicio 2014. 6.- Aumento de capital. 7.- Modificación parcial del estatuto social. 8.- Elección de los miembros del directorio de la sociedad para el período 2015-2018. 9.- Determinación de la remuneración de los miembros del directorio. 10.- Designación de los auditors externos para el ejercicio 2015. 11.- Situación de la sociedad. En caso de no reunirse el quorum de ley, se cita en segunda convocatoria, en el mismo lugar y con la misma agenda para el día lunes 26 de octubre del 2015 a horas 11:30 am.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",1,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0576,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.2462
"Patrimoniología cultural celebra reconocimiento global","Arequipa será sede de prestigioso evento internacional dedicado a patrimonios culturales mundiales, congregando representantes de 269 ciudades globales. Durante cuatro jornadas, compartirán experiencias innovadoras en conservación histórico-cultural, fortaleciendo vínculos colaborativos y aprendizajes compartidos.","correo",2015-11-01,"Patrimoniología cultural celebra reconocimiento global. Arequipa será sede de prestigioso evento internacional dedicado a patrimonios culturales mundiales, congregando representantes de 269 ciudades globales. Durante cuatro jornadas, compartirán experiencias innovadoras en conservación histórico-cultural, fortaleciendo vínculos colaborativos y aprendizajes compartidos.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1977,"-1","Unknown",0.0654,"143","virgen candelaria puno, fiesta virgen candelaria, candelaria puno, virgen candelaria, fiesta virgen",0.0893
"Prisión sugiere parentesco improbable con Prince","Ex convicto demanda análisis genéticos para validar afirmaciones controvertidas sobre descendencia compartida con ícono cultural.","correo",2016-05-12,"Prisión sugiere parentesco improbable con Prince. Ex convicto demanda análisis genéticos para validar afirmaciones controvertidas sobre descendencia compartida con ícono cultural.","-1","Unknown",0.0839,"56","interaccion cultural, inspiradora, reflexiones profundas, perspectivas diversas, culturales",0.0199,"-1","Unknown",0.0083
"Portman espera segundo hijo","Actor galardonado proyecta expansión familiar próxima, compartiendo emocionales momentos privados en espacios culturales relevantes.","correo",2016-09-10,"Portman espera segundo hijo. Actor galardonado proyecta expansión familiar próxima, compartiendo emocionales momentos privados en espacios culturales relevantes.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.1336,"24","boda, compromiso matrimonial, contrajo matrimonio, casan, ceremonia intima",0.0375,"-1","Unknown",0.0658
"Herencia Cultural Reconocida Globalmente","Celebración cultural alcanza hito histórico con designación universal de la danza WITTI como Patrimonio Mundial Intangible. Manifestación folklórica emblemática de identidad regional obtiene merecido reconocimiento global, incentivando fomento y divulgación de prácticas ancestrales. Logro representa consolidación orgullo compartido y oportunidad revitalizada para exploración turística diversa.","correo",2015-12-03,"Herencia Cultural Reconocida Globalmente. Celebración cultural alcanza hito histórico con designación universal de la danza WITTI como Patrimonio Mundial Intangible. Manifestación folklórica emblemática de identidad regional obtiene merecido reconocimiento global, incentivando fomento y divulgación de prácticas ancestrales. Logro representa consolidación orgullo compartido y oportunidad revitalizada para exploración turística diversa.","45","celebracion cultural, evento cultural, patrimonio cultural, eventos culturales, diversidad cultural",0.2321,"-1","Unknown",0.0308,"143","virgen candelaria puno, fiesta virgen candelaria, candelaria puno, virgen candelaria, fiesta virgen",1
"Breves","Información variada sobre temas económicos, ferrovías, proyectos agrícolas y desarrollos científicos relevantes.","correo",2016-05-11,"Breves. Información variada sobre temas económicos, ferrovías, proyectos agrícolas y desarrollos científicos relevantes.","18","innovaciones tecnologicas, innovacion tecnologica, sectores industriales, nuevas tecnologias, innovaciones",1,"-1","Unknown",0.0191,"89","breves noticias diversas, breves noticias culturales, breves noticias locales, breves noticias mundiales, breves noticias destacadas",1
"Disolución de Right Play Internacional","Mediante Resolucion de Directorio firmada el dia 19 de septiembre de 2014, se declara la dissoluccion de Right Play International, con RUC 20490023726, designando como liquidatora a Doña Laura Esther Spandau Castro, identificado con Documento Nacional de Identidad numero D6096564.","correo",2015-01-13,"Disolución de Right Play Internacional. Mediante Resolucion de Directorio firmada el dia 19 de septiembre de 2014, se declara la dissoluccion de Right Play International, con RUC 20490023726, designando como liquidatora a Doña Laura Esther Spandau Castro, identificado con Documento Nacional de Identidad numero D6096564.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.1671,"65","liquidadora, disolucion liquidacion empresa, liquidacion empresa, general accionistas celebrada, acordo disolucion liquidacion",0.3269,"115","disolucion liquidacion empresa, liquidacion disolucion, disolucion liquidacion, liquidacion empresa, acordo disolucion liquidacion",0.429
"Convocatoria a Asamblea General Ordinaria de Socios","Las Arenas El presidente del Consejo Directivo de la Asociación Civil Las Arenas, Sr. Arturo Iván Izaguierre Valdez, inscrita con DNI N° 07224865, convoca a Asamblea General Ordinaria de socios. Esta será realizada conforme a las disposiciones estatutarias, programándose en primera convocatoria el sábado 26 de marzo a las 18:30 hrs y en segunda convocatoria el mismo día a las 19:00 hrs. La reunión se realizará en el local de la Playa Panamericana Sur Km. 93.5 – Distrito de San Isidro, Provincia de Cañete, Departamento de Lima.  Puntos a discutir: 1. Aprobación de los estados financieros al 31 de diciembre de 2015. 2. Aprobación del presupuesto período Enero 2016-Marzo 2017. 3. Aprobación memoria institucional Abril 2015-March 2016. 4. Otros temas de interés.","correo",2016-03-22,"Convocatoria a Asamblea General Ordinaria de Socios. Las Arenas El presidente del Consejo Directivo de la Asociación Civil Las Arenas, Sr. Arturo Iván Izaguierre Valdez, inscrita con DNI N° 07224865, convoca a Asamblea General Ordinaria de socios. Esta será realizada conforme a las disposiciones estatutarias, programándose en primera convocatoria el sábado 26 de marzo a las 18:30 hrs y en segunda convocatoria el mismo día a las 19:00 hrs. La reunión se realizará en el local de la Playa Panamericana Sur Km. 93.5 – Distrito de San Isidro, Provincia de Cañete, Departamento de Lima.  Puntos a discutir: 1. Aprobación de los estados financieros al 31 de diciembre de 2015. 2. Aprobación del presupuesto período Enero 2016-Marzo 2017. 3. Aprobación memoria institucional Abril 2015-March 2016. 4. Otros temas de interés.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",1,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.2536,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",1
