"headline","subheadline","author","content","newspaper","date","<headline"
"Complica panorama político-electoral","","","En medio de la crisis política actual, el escenario electoral parece cada vez más complejo.","ojo","2018/06/13",""
"Peligra economía regional","Impacto negativo previsto","","Las nuevas regulaciones fiscales podrían llevar a consecuencias adversas significativas para la economía regional.","ojo","2018/06/13",""
"Investigan posible fraude financiero","Autoridades intensifican búsqueda de responsables","","Tras sospechas de irregularidades financieras, las autoridades han comenzado una investigación exhaustiva.","ojo","2018/06/13",""
"Critican medidas económicas","Habló Trome","Ismael Lazo, vecino de San Luis","Es indignante que... investigaciones fiscales... destape irregularidades.","ojo","2018/06/13",""
"Investigación judicial","Denuncia por compra ilegal","","Durante la audiencia... Fiscalía señaló que mediante la empresa Kuresa S.A....","ojo","2018/06/13",""
"Audiencia legal","Desvelan operativos financieros ilícitos","","...dinero destinado indebidamente... financiar la campaña presidencial de Fuerza Popular.","ojo","2018/06/13",""
"Solicitud jurídica","Defensa solicitará liberación","","Alfredo Chávez solicitó habeas corpus... para anular su prisión preventiva.","ojo","2018/06/13",""
"Nueva investigación","Exministros involucrados","","Investigación fiscal dirigida por José Pérez... relacionada con fondos de Odebrecht.","ojo","2018/06/13",""
"Derechos humanos","Suspensiones judiciales","","Se ordenó suspender la investigación fiscal del representante de la FPF,...","ojo","2018/06/13",""
"Penas severas","Sentenciados militares por homicidios","REDACCIÓN","Condenas de hasta 17 años... por el asesinato de 12 comuneros en Apurímac.","ojo","2018/06/13",""
"Mortalidad infantil","Muertes atribuidas al frio extremo","Vanessa García Apiacio","Según datos proporcionados... se produjeron múltiples fatalidades debido al frío.","ojo","2018/06/13",""
"Llamado médico","Alerta sanitaria activada","Na Dirección Regional Ejecutiva de Vigilancia en Salud","Las heladas continuarán impactando áreas específicas... especialmente preocupantes en provincias como Huamanga y La Mar.","ojo","2018/06/13",""
"Epidemiológica crisis","Informe regional de mortalidad","Dirección Regional de Salud","Informó que influenza A(H1N1)... ocasionó la muerte de dos ciudadanos en Chimborongo.","ojo","2018/06/13",""
"Gripal aumento","Casos graves detectados","Gerente de Salud Eduardo Araujo Sánchez","Reportó incremento significativo de gripes... particularmente en grupos sensibles.","ojo","2018/06/13",""
"Tribunal español","Acuerdo histórico internacional","","El tribunal supremo español dictaminó... respecto a cargos criminales contra familia real española.","ojo","2018/06/13",""
"Hechos climáticos","Heladas intensivas anunciadas","Servicio Nacional de Meteorología e Hidrología","Previsiones meteorológicas advierten... riesgos elevados en zonas serranas.","ojo","2018/06/13",""
"Fiscalización política","Reacciones gubernamentales locales","Convocatoria extraordinaria Hotel Or S.A.C.","Detalles organizativos y procedimientos futuros discutidos en sesión extra ordinaria.","ojo","2018/06/13",""
"","NA","‘Milagrosamente, y contrariamente a lo que los médicos predicieron, recuperé’ dice la artista.","","ojo","2018/06/13","Shakira cuenta promesa.; Que haría si volvía a cantar."
"","Conoce nuestros servicios especiales.","NA","Ofrecemos diversos tipos de rituales y ceremonias relacionadas con el amor y el éxito personal.","ojo","2018/06/13","Amarres de amor y sexo 100% eficaz."
"","NA","Logró obtener ingresos significativos durante su primera semana globalmente.","","ojo","2018/06/13","Nuevo orden ‘Avengers: Infinity War’ logró récord mundial.”;Primera película alcanza cifras impresionantes."""
"","Proyectos futuros junto a grandes nombres.","NA","Se anticipa nuevas producciones conjuntas tras éxitos previos.","ojo","2018/06/13","Luis Baños continúa colaborando con artistas reconocidos."
"","Regreso a televisión y política.","Verónica Castro regresa a la pantalla chica.","Desvela detalles personales mientras prepara nuevos roles tanto en cine como en política.","ojo","2018/06/13","Marina Mora felíz con reconciliación."
