"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. La compra de los aviones tiene como objetivo modernizar la flota aérea de combate de las Fuerzas Armadas y fortalecer la defensa nacional.";"trome";"2021-03-02";"2"
"El dólar blue toca un máximo histórico";"La cotización alcanza los $350";"NA";"El dólar blue alcanzó hoy un nuevo máximo histórico en el mercado informal, llegando a cotizar a $350. La suba se debe a la incertidumbre económica y política, y a la alta demanda de divisas. Los analistas advierten que la brecha entre el dólar oficial y el blue podría seguir ampliándose en los próximos días.";"trome";"2021-03-02";"2"
"La inflación sigue descontrolada";"El índice de precios al consumidor aumentó 8% en un mes";"NA";"La inflación en Argentina sigue siendo un problema grave. En el último mes, el índice de precios al consumidor aumentó 8%, lo que representa una tasa anual de más del 100%. El aumento de los precios afecta principalmente a los alimentos, la vivienda y el transporte. El Gobierno anunció nuevas medidas para controlar la inflación, pero los economistas dudan de su efectividad.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de ahorro";"NA";"NA";"El Gobierno anunció un nuevo plan de ahorro para incentivar el consumo y reactivar la economía. El plan consiste en ofrecer créditos a tasas subsidiadas para la compra de bienes duraderos y servicios. El Gobierno espera que el plan impulse el consumo y ayude a salir de la crisis económica.";"trome";"2021-03-02";"2"
"El dólar oficial sube a $280";"NA";"NA";"El Banco Central de la República Argentina (BCRA) decidió subir la tasa de interés de referencia en 2 puntos porcentuales, lo que provocó un aumento del dólar oficial a $280. La medida busca contener la inflación y evitar una mayor devaluación del peso.";"trome";"2021-03-02";"2"
"El Gobierno lanza un programa de becas para estudiantes";"NA";"NA";"El Gobierno lanzó un nuevo programa de becas para estudiantes de bajos recursos. El programa consiste en otorgar becas mensuales para cubrir los gastos de matrícula, transporte y materiales escolares. El Gobierno espera que el programa facilite el acceso a la educación y promueva la igualdad de oportunidades.";"trome";"2021-03-02";"2"
"El Gobierno anuncia medidas para combatir la sequía";"NA";"NA";"El Gobierno anunció una serie de medidas para combatir la sequía que afecta a varias provincias del país. Las medidas incluyen la construcción de nuevas represas, la perforación de pozos y la implementación de sistemas de riego eficientes. El Gobierno espera que las medidas ayuden a mitigar los efectos de la sequía y garantizar el suministro de agua.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo aumento en las tarifas de energía";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de energía eléctrica y gas natural. El aumento se justifica por el aumento de los costos de producción y la necesidad de garantizar la sustentabilidad del sistema energético. El aumento generó críticas de la oposición y de organizaciones de defensa del consumidor.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un plan de obras públicas";"NA";"NA";"El Gobierno anunció un plan de obras públicas que incluye la construcción de nuevas carreteras, hospitales y escuelas. El plan se financiará con fondos públicos y privados. El Gobierno espera que el plan genere empleo y promueva el crecimiento económico.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de vivienda";"NA";"NA";"El Gobierno anunció un nuevo programa de vivienda que consiste en la construcción de viviendas sociales para familias de bajos recursos. El programa se financiará con fondos públicos y privados. El Gobierno espera que el programa ayude a reducir el déficit habitacional y mejorar la calidad de vida de las familias.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de turismo";"NA";"NA";"El Gobierno anunció un nuevo plan de turismo que consiste en la promoción del turismo interno y externo. El plan incluye la inversión en infraestructura turística y la realización de campañas publicitarias. El Gobierno espera que el plan impulse el sector turístico y genere empleo.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de empleo";"NA";"NA";"El Gobierno anunció un nuevo programa de empleo que consiste en la capacitación y el entrenamiento de trabajadores para el mercado laboral. El programa se financiará con fondos públicos y privados. El Gobierno espera que el programa ayude a reducir el desempleo y mejorar la calidad del empleo.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de salud";"NA";"NA";"El Gobierno anunció un nuevo programa de salud que consiste en la ampliación de la cobertura médica y la mejora de la calidad de los servicios de salud. El programa se financiará con fondos públicos y privados. El Gobierno espera que el programa ayude a mejorar la salud de la población.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de educación";"NA";"NA";"El Gobierno anunció un nuevo programa de educación que consiste en la mejora de la calidad de la educación y la ampliación del acceso a la educación. El programa se financiará con fondos públicos y privados. El Gobierno espera que el programa ayude a mejorar el nivel educativo de la población.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo programa de seguridad";"NA";"NA";"El Gobierno anunció un nuevo programa de seguridad que consiste en el aumento de la presencia policial en las calles y la implementación de nuevas tecnologías para combatir el delito. El programa se financiará con fondos públicos y privados. El Gobierno espera que el programa ayude a reducir la inseguridad y mejorar la calidad de vida de los ciudadanos.";"trome";"2021-03-02";"2"
