"headline","subheadline","author","content","newspaper","date","El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que..."
"El loco del martillo","","La Seño María","Hoy en día, uno pensaría que...","trome","2014/01/26","","","",""
"Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque...","trome","2014/01/26","","","",""
"¿Debemos comprar armamento militar?","","","Nosotros tenemos la experiencia de combate. Hemospagado derecho de piso. ¿Cree que Perú debe comprar armamento militar? El Perú lo que debe hacer es mantener unas Fuerzas Armadas disuasivas, que le den seguridad a sus recursos, energía, agua que no tienen otros países, y lo van a querer tener. ¿Debemos tomar la salida de la escuadrachilena desde Valparaíso, solo como su primer entrenamiento en el mar del 2014, tal como aducen nuestros vecinos del sur? Pienso que las Fuerzas Armadas son las más presionadas en su país por los grandes gastos que han hecho, ya están cuestionados hasta por los colegiales. Al final, van a tener que hacer jueguitos entre los grupos rojos y azules, no les queda otra...","trome","2014/01/26","","","",""
"¿Noshabríaconvenido más que la ejecución del fallo se diera durante el gobierno de Piñera o de Bachelet, quien asumirá la presidencia en marzo?","","","Pienso que las Fuerzas Armadas (chilenas) son las más presionadas en su país por los grandes gastos que han hecho, ya están cuestionados hasta por los colegiales. Al final, van a tener que hacer jueguitos entre los grupos rojos y azules, no les queda otra... Es igual. Ellos tienen una política exterior uniforme en el tiempo. Para nosotros, es igual el gobierno que esté, Siempre van a considerar que esto ha sido un gesto inamistoso y, como le digo, se van a enfriar las relaciones políticas. En serio, ¿cree que la presidenta Bachelet siga pensando que nuestra...","trome","2014/01/26","","","",""
"Sentencia de La Haya","","","El primer gesto que ella tendría que dar es, si La Haya fallando determinando que no existía un tratado de límites marítimos, pedirle disculpas al Perú. El ministro de Defensa de Chile, Francisco Vidal, ha dicho que Perú ve este diferendo marítimo como un paso para la futura recuperación de Tarapacá, ¿qué tiene que responder? Es ese señor está fuera de órbita y siempre sus comentarios han sido considerados en su país como provenientes de un gracioso. ¿Considera como muchos que 'perder es imposible, porque hoy no tenemos nada'? Creo que se ha engañado a los peruanos y a los chilenos al señalar que no vamos a perder nada y que Tacna siga con cero millas (marítimas), no sé cuál es la ganancia. De muy buena fuente sé que ganaríamos entre un 60 y 80% de lo que pedimos, ¿cree lo mismo? Hay que esperar el fallo con optimismo, pero con prudencia, ya que todos sus dictámenes son complejos, por eso no son predecibles y generan estos estados de tensión entre los países. ¿Va a amanerar su casa? Yo tengo embanderado mi corazón permanentemente.","trome","2014/01/26","","","",""
"Sentencia de La Haya","","","El escritor peruano Mario Vargas Llosa y su par chileno, Jorge Edwards, el fallo de la Corte Internacional de Justicia de La Haya, sobre el diferendo marítimo entre Perú y Chile (que se conocerá este lunes 27 de enero), será un ejemplo para Latinoamérica. Vargas Llosa dijo que la paz, amistad, respeto mutuo y decisión de acatar la sentencia que han acompañado son constituye un ejemplo para los países que no han resuelto sus problemas limitrofes y han encontrado en ello la razón para el encono y rencor. Mientras que Edwards resaltó que la cuestión se da en un momento oportuno para comenzar una excelente relación con Perú que, a su juicio, cambiará la 'atmósfera'. 'Es un suceso histórico', manifestó.","trome","2014/01/26","","","",""
"¿Qué opinas del gobierno de tu colega Ollanta Humala?","","","Está haciendo un buen gobierno. En este tema, por ejemplo, ha mantenido la discreción y el espíritu de tranquilidad que debe darse en una situación de este tipo. Usted, como militar, ¿qué haría para solucionar el tema de la seguridad ciudadana? Reforzaría a la familia y la calidad de educación en los colegios. ¿Aceptaría ser ministro del Interior en este gobierno? No lo he pensado todavía. ¿Ya se amistó con Rafael Rey (con quien tuvo una acalorada discusión años atrás en una radio limeña)? No lo he vuelto a ver. Gracias general Chiabra, siempre es un honor conversar con usted...","trome","2014/01/26","","","",""
"Sentencia de La Haya","","","Sentencia de La Haya: 'Es un suceso histórico', manifestó. [SASÍESLACOSA e E in P Eie n presentaron en 2012 el 'Llamado al concordia', ie EE ee cO E ii u depaz en el proceso por S E Eco et d e TRANQUILIDAD Mientras tanto, el peruano en Chile, los Pareja, destacó el ambiente de tranquilidad que se vive en Santiago pocas horas de conocerse el fallo de La Haya. 'Hemos recibido a periodistas tanto de la televisión como de la prensa escrita, y hay un ambiente bastante tranquilo en la capital, tanto entre los transeúntes, como entre los peruanos', dijo el diplomático. Destacó la relación fluida que existe entre Perú y Chile en estos momentos, una situación que se ha acentuado -dijo- en los últimos años, particularmente durante el gobierno del presidente Sebastián Piñera.","trome","2014/01/26","","","",""
"¿Cómo se siente la población chilena ante el próximo fallo de La Haya?","","","La sentencia es importante para la clase política, pero a mí no me interesa/indicó un empleado de una farmacia. Mientras que un funcionario comentó: 'Un poco menos o más de mar no influye mucho en mí. Las relaciones entre Perú y Chile deben estar bien'.","trome","2014/01/26","","","",""
"Principes de Japón llegan al Perú","","","Los principes de Japón, Fumihito Akishino y su esposa Kiko, deben arribar hoy al Perú, en una visita oficial que durará hasta el 30 de enero, donde tienen previsto reunirse con el presidente Ollanta Humala y realizar otras actividades. Esta primera visita de la realeza japonesa se da con ocasión del 140 aniversario del inicio de las relaciones diplomáticas que mantienen con nuestro país.","trome","2014/01/26","","","",""
"Escándalo en la Policía Nacional del Perú","","","La esposa de un coronel de la Policía armó un escándalo en los exteriores de una comisaría, pues descubrió que su cónyuge, con quien cumplió 25 años de matrimonio, la engaña con una suboficial de la institución. En plena vía pública, Fidela Isabel Díaz Silva (48) gritó a los cuatro vientos la infidelidad de su marido, el coronel PNP Agustín Ramírez Rodríguez (52). La indignada mujer se trepó en un taxi que él abordó y así evitó que se fuera de la estación policial.","trome","2014/01/26","","","",""
"Suben multas por ensuciar","","","El alcalde de Lima, Jorge Muñoz, anunció que este año, las multas por ensuciar las calles y desmonte al río habrían subido entre 10 y 15 veces, según informó la Gerencia del Ambiente. 'Estas frescas medidas son necesarias para el reordenamiento del tránsito vehicular y peatonal', dijo el viceministro de Gestión Pedagógica, Mariano Vegas.","trome","2014/01/26","","","",""
