"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Las tasas más bajas de participación de las mujeres se reducen en menos sectores de empleo","Con escasa variación a lo largo del tiempo, lo que socava su capacidad para obtener ingresos, explicó el organismo. Uno de los principales problemas para la OIT es que la mayoría de países con alta desigualdad no ha tenido mejoras en reducir las brechas. Los países que sí tuvieron esos progresos fueron los de Europa y América del Norte, pero debido a que las recesiones y la crisis económica mundial azotaron el mercado laboral y redujeron las tasas de empleo de los hombres.","correo",2016-03-08,"Las tasas más bajas de participación de las mujeres se reducen en menos sectores de empleo. Con escasa variación a lo largo del tiempo, lo que socava su capacidad para obtener ingresos, explicó el organismo. Uno de los principales problemas para la OIT es que la mayoría de países con alta desigualdad no ha tenido mejoras en reducir las brechas. Los países que sí tuvieron esos progresos fueron los de Europa y América del Norte, pero debido a que las recesiones y la crisis económica mundial azotaron el mercado laboral y redujeron las tasas de empleo de los hombres.","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",1,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"-1","Unknown",0.0419
"Pasivos Por sobreendeudamiento se evalúa vender parte de la infraestructura","Por sobreendeudamiento se evalúa vender parte de la infraestructura.","correo",2019-09-02,"Pasivos Por sobreendeudamiento se evalúa vender parte de la infraestructura. Por sobreendeudamiento se evalúa vender parte de la infraestructura.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0191,"-1","Unknown",0.0326,"85","ejecucion inversion publica, proyectos inversion publica, obras impuestos oxi, proyectos inversion, obras impuestos",0.0655
"Céntrate más en tu trabajo, necesitas un ascenso y una mejora económica cuanto antes y así lo lograrás.",NA,"correo",2015-02-09,"Céntrate más en tu trabajo, necesitas un ascenso y una mejora económica cuanto antes y así lo lograrás.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0239,"30","emprendedores, emprendedor, innovacion, emprendimiento, emprendedoras",0.0527,"387","tienes cosas decir, tienes mas ofrecer, cosas decir hoy, enamorada habrias mandado, tienes cosas",1
"Por fin parece que tu esfuerzo se verá recompensado y tendrás un aumento económico que te dará mucha alegría.",NA,"correo",2015-02-09,"Por fin parece que tu esfuerzo se verá recompensado y tendrás un aumento económico que te dará mucha alegría.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.018,"30","emprendedores, emprendedor, innovacion, emprendimiento, emprendedoras",0.0656,"183","contento fin cuarentena, fin cuarentena feliz, cuarentena feliz contento, cuarentena feliz, fin cuarentena",0.0547
"Nuevas oportunidades tocan tu puerta en el plano laboral","Demuestra tu capacidad y gran potencial para trabajar en equipo.","correo",2017-12-15,"Nuevas oportunidades tocan tu puerta en el plano laboral. Demuestra tu capacidad y gran potencial para trabajar en equipo.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0215,"30","emprendedores, emprendedor, innovacion, emprendimiento, emprendedoras",0.0342,"-1","Unknown",0.0023
"Qué es la igualdad de género?","Es el estado de igualdad de derechos, deberes, oportunidades y tratamientos entre varones y mujeres. Por ende no hay discriminación ni violencia. Hoy en día, una mujer puede ejercer su profesión, carrera técnica, etcétera, sin ningún obstáculo. Sin embargo, aún persisten desiguales condiciones respecto a los varones; acceden menos a cargos directivos, tienen un salario inferior al de un hombre por realizar el mismo trabajo, representación política, etcétera.","correo",2017-03-08,"Qué es la igualdad de género?. Es el estado de igualdad de derechos, deberes, oportunidades y tratamientos entre varones y mujeres. Por ende no hay discriminación ni violencia. Hoy en día, una mujer puede ejercer su profesión, carrera técnica, etcétera, sin ningún obstáculo. Sin embargo, aún persisten desiguales condiciones respecto a los varones; acceden menos a cargos directivos, tienen un salario inferior al de un hombre por realizar el mismo trabajo, representación política, etcétera.","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",0.0589,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"-1","Unknown",0.0058
"Equidad de género: Economía ‘Inteligente’","El estudio de pobreza multidimensional de PNUD identifica como uno de los grandes logros de América Latina, en los últimos años, el avance social y la reducción de la pobreza que se explica por tres transformaciones estructurales: la urbanización, el crecimiento del sector servicios y la feminización de la fuerza laboral. En 1980, el 30% de las mujeres trabajaba fuera de casa. Actualmente, el 52% de las mujeres latinoamericanas lo hace, sin embargo la mayoría se desarrolla en el mercado informal, caracterizado por su precariedad, el subempleo, aislamiento e inestabilidad. Más aún, las mujeres que se desenvuelven en él tienen mayor riesgo de ser víctimas de acoso por parte de las autoridades, desde la Policía y los supervisores municipales hasta los funcionarios de la administración tributaria.  Por segundo año consecutivo, OWIT y Aequales realizaron el ranking de equidad de género en las organizaciones. Este busca medir los objetivos, políticas, prácticas y acciones afirmativas de las empresas en el Perú, en torno a la equidad de género. Este año participaron 52 empresas.  ¿Por qué debemos generar incentivos para lograr la equidad de género en el mercado laboral? Para que una economía funcione en todo su potencial, se requiere la participación de las personas en actividades que desarrollen y utilicen de la forma más productiva sus habilidades y talentos. Cuando las mujeres no tienen la posibilidad de completar su educación, especializarse en determinadas ocupaciones y ganar los mismos salarios que los hombres, como consecuencia de la discriminación de género, el país no desarrolla todo su potencial económico. De acuerdo con el Banco Mundial, si no hubiera sido por el aumento de los ingresos de las mujeres en la década entre 2000 y el 2010, la pobreza extrema y la desigualdad de ingreso promedio habrían sido un 30% y un 28% más elevados, respectivamente. Mientras que un estudio de CEPAL muestra que si los países latinoamericanos impulsaran un mayor acceso de las mujeres al empleo, y redujeran las diferencias de ingresos entre los hombres y las mujeres, reducirían la pobreza en 10%.  Los últimos años han traído un incremento notable en el acceso a la educación y salud de las mujeres, el reconocimiento de sus derechos, el acceso al empleo, a ingresos y al crédito. Sin embargo, las mujeres siguen desarrollándose en los escalafones más bajos de las empresas. De acuerdo con el índice Global Gender Gap, solo el 6% de los directores de empresas son mujeres. La equidad de género es económicamente “inteligente”.","correo",2016-06-25,"Equidad de género: Economía ‘Inteligente’. El estudio de pobreza multidimensional de PNUD identifica como uno de los grandes logros de América Latina, en los últimos años, el avance social y la reducción de la pobreza que se explica por tres transformaciones estructurales: la urbanización, el crecimiento del sector servicios y la feminización de la fuerza laboral. En 1980, el 30% de las mujeres trabajaba fuera de casa. Actualmente, el 52% de las mujeres latinoamericanas lo hace, sin embargo la mayoría se desarrolla en el mercado informal, caracterizado por su precariedad, el subempleo, aislamiento e inestabilidad. Más aún, las mujeres que se desenvuelven en él tienen mayor riesgo de ser víctimas de acoso por parte de las autoridades, desde la Policía y los supervisores municipales hasta los funcionarios de la administración tributaria.  Por segundo año consecutivo, OWIT y Aequales realizaron el ranking de equidad de género en las organizaciones. Este busca medir los objetivos, políticas, prácticas y acciones afirmativas de las empresas en el Perú, en torno a la equidad de género. Este año participaron 52 empresas.  ¿Por qué debemos generar incentivos para lograr la equidad de género en el mercado laboral? Para que una economía funcione en todo su potencial, se requiere la participación de las personas en actividades que desarrollen y utilicen de la forma más productiva sus habilidades y talentos. Cuando las mujeres no tienen la posibilidad de completar su educación, especializarse en determinadas ocupaciones y ganar los mismos salarios que los hombres, como consecuencia de la discriminación de género, el país no desarrolla todo su potencial económico. De acuerdo con el Banco Mundial, si no hubiera sido por el aumento de los ingresos de las mujeres en la década entre 2000 y el 2010, la pobreza extrema y la desigualdad de ingreso promedio habrían sido un 30% y un 28% más elevados, respectivamente. Mientras que un estudio de CEPAL muestra que si los países latinoamericanos impulsaran un mayor acceso de las mujeres al empleo, y redujeran las diferencias de ingresos entre los hombres y las mujeres, reducirían la pobreza en 10%.  Los últimos años han traído un incremento notable en el acceso a la educación y salud de las mujeres, el reconocimiento de sus derechos, el acceso al empleo, a ingresos y al crédito. Sin embargo, las mujeres siguen desarrollándose en los escalafones más bajos de las empresas. De acuerdo con el índice Global Gender Gap, solo el 6% de los directores de empresas son mujeres. La equidad de género es económicamente “inteligente”.","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",1,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"349","laboral mujeres, equidad genero, mujeres directorios, mercado peruano, brecha salarial",1
"A propósito del Día Mundial del Emprendimiento Femenino","Se aprobó la Ley de Igualdad Salarial (No 28983), una medida que llega justo en medio de un retroceso de 0.6 puntos porcentuales entre lo que hombres y mujeres perciben en el país por el mismo trabajo. Una de las explicaciones tras esta cifra es que las mujeres trabajan menos horas remuneradas para dedicarle más tiempo al trabajo doméstico (no remunerado).","correo",2017-11-19,"A propósito del Día Mundial del Emprendimiento Femenino. Se aprobó la Ley de Igualdad Salarial (No 28983), una medida que llega justo en medio de un retroceso de 0.6 puntos porcentuales entre lo que hombres y mujeres perciben en el país por el mismo trabajo. Una de las explicaciones tras esta cifra es que las mujeres trabajan menos horas remuneradas para dedicarle más tiempo al trabajo doméstico (no remunerado).","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",1,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"-1","Unknown",0.0131
"Ventas","Generar ventas debe ser el principal objetivo, pero sin descuidar la calidad. Se puede optar por contratar un equipo de trabajadores o tercerizar.","correo",2016-02-22,"Ventas. Generar ventas debe ser el principal objetivo, pero sin descuidar la calidad. Se puede optar por contratar un equipo de trabajadores o tercerizar.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0213,"30","emprendedores, emprendedor, innovacion, emprendimiento, emprendedoras",0.1498,"-1","Unknown",0.0531
"Brecha salarial sigue a favor de los hombres","La diferencia (brecha) entre el sueldo promedio de un hombre y una mujer es de S/572 a favor del primero, según el Instituto Nacional de Estadística e Informática (INEI). El sueldo promedio de los hombres fue S/1872 en 2018, un 1% más con relación al 2017, y el de la mujer fue S/1240. Desde entonces, el sueldo promedio de la mujer representa el 68.4% del hombre. Además, las mujeres y hombres de 45 y más años presentan mayores diferencias de ingresos, alcanzando el 66.6% del ingreso de los hombres. La menor brecha se da entre los jóvenes de 18 a 24 años del ingreso de los hombres.","correo",2019-03-08,"Brecha salarial sigue a favor de los hombres. La diferencia (brecha) entre el sueldo promedio de un hombre y una mujer es de S/572 a favor del primero, según el Instituto Nacional de Estadística e Informática (INEI). El sueldo promedio de los hombres fue S/1872 en 2018, un 1% más con relación al 2017, y el de la mujer fue S/1240. Desde entonces, el sueldo promedio de la mujer representa el 68.4% del hombre. Además, las mujeres y hombres de 45 y más años presentan mayores diferencias de ingresos, alcanzando el 66.6% del ingreso de los hombres. La menor brecha se da entre los jóvenes de 18 a 24 años del ingreso de los hombres.","113","emprendimiento femenino, laboral mujeres, mujeres emprendedoras, mujeres peruanas, mujeres trabajan",1,"235","sector informal, mercado informalidad, millones personas trabajan, crear trabajo, competitividad tema",1,"491","empleo formal privado, trabajadores informales, mercado laboral, peruanos considera, empleo formal",1
