"headline","subheadline","author","content","newspaper","date"
"Fisco de influencias al participar en el destape de obras de la Carretera Interoceánica","","","En el Gobierno de Alan García, Olivera considera denuncia maliciosa del Fujiprazmo y confía en demostrar inocencia.","ojo","2019/06/25"
"Castañeda Lossio debe hablar sobre dinero recibido.","","","Castagneda Lossio ausenta declaración investigativa vinculación con OAS entrega millonarios sobornos.","ojo","2019/06/25"
"Nueva normativa eleva barrera electoral para movimientos regionales.","","Con votos de FP, APR, APP y bancada liberal, Comisión de Constitución aprueba aumento de umbral electorado.","","ojo","2019/06/25"
"Municipalidad de Jesús María llama a personal administrativo a retirar utilidades correspondientes al periodo fiscal anterior.","","","","ojo","2019/06/25"
"Ministerio de la Mujer distribuye kits de abrigos contra frío extremo.;","","","","ojo","2019/06/25"
"Investigan violación infantil resultando sentencia de cadena perpetua para culpable identificado;","","","","ojo","2019/06/25"
"Pobladores exhiben públicamente a infractores capturados robando animales domésticos.","","","","ojo","2019/06/25"
"Siniestro carretero causa fatalidad y vertedero petrolifero en curso fluvial principal.","","","","ojo","2019/06/25"
"Aumento de actividad volcánica obliga recomendaciones urgentes de seguridad civil.","","","","ojo","2019/06/25"
"Diplomática tensión bilateral surge debido a incidente armamentístico transfronterizo.","","","","ojo","2019/06/25"
"Evaluación preliminar sugiere posible escalada militar en conflicto interno africano.","","","","ojo","2019/06/25"
"Accidente automovilístico genera tragedia familiar múltiple y emergencia ambiental local.","","","","ojo","2019/06/25"
"Operativos sanitarios implementan campaña vacunal amplia contra patologías virulentas.","","","","ojo","2019/06/25"
"Tensión geopolítica globaliza consecuencia directa de eventos naturales cataclísmicos.","","","","ojo","2019/06/25"
"Capturan traficante juvenil implicado en narcotráfico transcontinental.","","","","ojo","2019/06/25"
"Proceso migratorio complica acceso legal hacia países vecinos.","","","","ojo","2019/06/25"
"Atención urgente requerida ante fenómeno geológico activo potencialmente destructivo.","","","","ojo","2019/06/25"
"Comunidad deportiva reconoce logros individuales y colectivos previos a encuentros decisivos.","","","","ojo","2019/06/25"
"Rescate heroico culmina exitosamente tras prolongado cautiverio natural.","","","","ojo","2019/06/25"
"Seguridad europea compromete respuesta coordinada ante actos terroristas planificados.","","","","ojo","2019/06/25"
"Desafortunadamente, evento bélico reduce efectivos estratégicamente posicionados.","","","","ojo","2019/06/25"
"Asamblea legislativa contempla nuevas restricciones comerciales bilaterales significativas.","","","","ojo","2019/06/25"
"Emergencia humanitaria evidenciar crisis habitacional exacerbada conflictos políticos latentes.","","","","ojo","2019/06/25"
"Anuncio gubernamental anticipa ajustes regulatorios económicos sustanciales.","","","","ojo","2019/06/25"
"Carlos VillaGrón enfrenta terapia narrativa","","Karla Tarazona","El actor mexicano Carlos Villegas fue sometido a una terapeútica que lo tiene confundido.","ojo","2019/06/25"
"Daniela Darcourt celebra maternidad sin filtros","Feliz con su figura natural","Marisol Mayta","La salsera Daniela Darcourt comparte cómo vive felíz con su físico actual después de dar a luz, destacando que no necesita modificaciones externas.","ojo","2019/06/25"
"Lucha legal de Marisól Mayta frente a Leonhard León","‘No se queden calladas’”;Marisol Mayta""","Tras varias denuncias por agresión interpuestas por Leonardo León, Marisol Mayta insta a las víctimas a defenderse y buscar ayuda legal.","","ojo","2019/06/25"
"Pablo y Alondra lucen unidad en público","Abrazados en Brasil","Marisol Mayta","Los artistas Pablo Guerrero y Alondra García Miró fueron fotografiados mostrando una sólida conexión durante unas vacaciones en São Paulo.","ojo","2019/06/25"
"Pedro Moral reta realidad en ‘8 de corazones’","Participará en ‘La Casa SoHo Color’","Rodrigo Massi","Pedro Moral competirá en el show de realities ‘La Casa SoHo Color’, interactuando con diversas figuras femeninas en búsqueda de nuevas experiencias.","ojo","2019/06/25"
"Nueva temporada de ‘América Noticias’ presenta cambios","Retorno de Nicola Porcella y nuevos formatos","Rodrigo Massi","Nicolas Porcella retorna a América Televisión, marcando un hito importante en la programación del canal, incluidos proyectos renovados como ‘TN – Te volveré a encontrar’. ","ojo","2019/06/25"
"Audiencia emocional de Vanessa Terkes post-denuncia","Terapias psicológicas previas a juicio","Marisol Mayta","Después de denunciar violencia intrafamiliar, Vanessa Terkes debe someterse a evaluaciones psicológicas conforme dictaminan autoridades judiciales.","ojo","2019/06/25"
"Bartola revive su trayectoria musical en el Gran Teatro Nacional","Con producción dirigida por Carlos Tolentino","Marisol Mayta","Una nueva mirada a la icónica canción de Bartola se llevará a cabo en el Gran Teatro Nacional, prometiéndo momentos emotivos y musicales.","ojo","2019/06/25"
"Asociación AAA homenajea Baguazo con obra de Sara Joffré","'Bagua, ni grande ni chica', en cartelera","Marisol Mayta","Para conmemorar el décimo aniversario del conflicto del Baguazo, la asociación cultural AAA representa la última obra escrita por Sara Joffré.","ojo","2019/06/25"
"Tilsa Lozano opina sobre controversia de Aída Martínez y Juan Manuel Vargas","Revelaciones impactantes en ‘En exclusiva’","Ernesto Pimentel","Durante su segmento en ‘En exclusiva’, Tilsa Lozano discute detalles explosivos relacionados con Aída Martínez y su encuentro controvertido con Juan Manuel Vargas.","ojo","2019/06/25"
"Educatividad parental clave para éxito académico","Importancia de acompañar procesos escolares","Unidad Editorial OJO","Las familias juegan un papel crucial en el rendimiento académico de sus hijos mediante compromisos continuos y práctica de hábitos constructivos.","ojo","2019/06/25"
"Innovación en movilidad urbana con scooters eléctricos","Reducen contaminación y congestión vehicular","Grupo Exitoso","Según datos proporcionados por Grin Perú, los scooter ofrecen alternativas sustentables para mitigar problemas ambientales urbanos.","ojo","2019/06/25"
"Cómo combatir eficientemente la lumbalgia","Medidas preventivas y tratamiento adecuado","Unidad Editorial OJO","Esta dolencia musculoesquelética puede gestionarse aplicando técnicas correctas de movimiento y ejercicio regular.","ojo","2019/06/25"
"Posgrados aumentan competitividad profesional","Maestrías, diplomados y doctorados disponibles","Unidad Editorial OJO","Ingresar a niveles avanzados de formación permite potencializar carreras profesionales gracias a cursos estructurados en áreas relevantes.","ojo","2019/06/25"
"Historia de Mazan-Morra inspira tradiciones culinarias locales","Receta ancestral combina ingredientes típicos","Unidad Editorial OJO","Explorando antiguas costumbres gastronómicas, encontramos platillos únicos como el Mazan-Morra, fusionando elementos regionales.","ojo","2019/06/25"
"Salud y la Enfermedad Estado de Salud Óptimo y Energía Capaces de Mantener El Estado Constituyen Dos Polos Opuestos del Vital Suficiente, en Caso Que Equilibrar Sin Anomalías Ciclo De Emergente Humano."," NA "," NA","Para Existir Una Toxemia Proporciona Un Proceso Necesario La Homeóstasis Más Común Entre Los Seres Vivientes Siempre Engloban Dentro De Múltiple Denominaciones Depurativas Por Ejemplos Asignadas Eczema Ocurren Cada Día Les Comparten Parte Arreglar Juicios Cuando Está Mi Nombre Doctor José Luis Berez Después Nombró Noxa Elementos Del Interior.","ojo","2019/06/25"
