"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Fortaleza del dólar beneficia pensiones","Incremento notable en el tipo de cambio favorece rendimientos adicionales en inversiones denominadas en dólares estadounidenses gestionadas por instituciones de seguridad social.","correo",2015-07-08,"Fortaleza del dólar beneficia pensiones. Incremento notable en el tipo de cambio favorece rendimientos adicionales en inversiones denominadas en dólares estadounidenses gestionadas por instituciones de seguridad social.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.1346,"23","previsional, sistema privado pensiones, pension, privadas fondos pensiones, privado pensiones",0.0966,"-1","Unknown",0.0311
"Recordación Batalla de Arica","Se celebra la gesta heroica de Francisco Bolognesi y su tropa defendiendo la plaza de Arica contra el ejército chileno, destacándose su supremo patriotismo.","correo",2015-06-08,"Recordación Batalla de Arica. Se celebra la gesta heroica de Francisco Bolognesi y su tropa defendiendo la plaza de Arica contra el ejército chileno, destacándose su supremo patriotismo.","-1","Unknown",0.0173,"104","batalla ayacucho, fuerzas peruanas, independencia peruana, patriotas, glorioso",0.2813,"92","batalla ayacucho, independencia peruana, independencia peru, francisco bolognesi, ayacucho",1
"Exportadores buscan mejora tributaria","Las entidades comerciales expresan frustración por falta de medidas gubernamentales dirigidas a revitalizar cifras decrecientes en exportaciones, especialmente criticando tasas impositivas insuficientes.","correo",2015-07-08,"Exportadores buscan mejora tributaria. Las entidades comerciales expresan frustración por falta de medidas gubernamentales dirigidas a revitalizar cifras decrecientes en exportaciones, especialmente criticando tasas impositivas insuficientes.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.3266,"-1","Unknown",0.0234
"Promulgación de nuevas regulaciones tributarias favorecen investigación científica","El Gobierno implementará incentivos fiscales bajo la nueva Ley de Promoción de Investigación Científica, otorgándoles a las corporaciones la capacidad de deducir hasta 175% de sus gastos realizados en proyectos de innovación tecnológica desarrollados dentro del país.","correo",2015-03-14,"Promulgación de nuevas regulaciones tributarias favorecen investigación científica. El Gobierno implementará incentivos fiscales bajo la nueva Ley de Promoción de Investigación Científica, otorgándoles a las corporaciones la capacidad de deducir hasta 175% de sus gastos realizados en proyectos de innovación tecnológica desarrollados dentro del país.","19","impuesto general ventas, incentivos fiscales, recaudacion tributaria, tributaria sunat, administracion tributaria sunat",1,"51","tributaria aumenta, recaudacion tributaria aumenta, menos impuestos, impuesto general, impuesto general ventas",0.0816,"38","administracion tributaria sunat, tributaria sunat, recaudacion tributaria, nacional administracion tributaria, ventas igv",0.0697
"Playa Carpayo es la Más Contaminada","Según el ranking elaborado por la organización ambientalista VIDA, un total de 60 mil kilos de basura convierte, año tras año, a la playa Carpayo del Callao en la más contaminada del país.","correo",2016-01-13,"Playa Carpayo es la Más Contaminada. Según el ranking elaborado por la organización ambientalista VIDA, un total de 60 mil kilos de basura convierte, año tras año, a la playa Carpayo del Callao en la más contaminada del país.","-1","Unknown",0.0561,"-1","Unknown",0.0292,"138","residuos solidos urbanos, acumulacion residuos solidos, problemas ambientales, contaminacion urbana, residuos solidos",1
"GOBIERNO BUSCA PASAR PRESUPUESTO DE UN PROYECTO A OTROS","El Ministerio de Economía y Finanzas (MEF) está preparándose para establecer regulaciones que faciliten la redistribución rápida de fondos asignados a ciertos proyectos de infraestructura pública. Entre enero y marzo, hubo una reducción significativa de más del 50% en la inversión realizada por gobiernos regionales y municipales, contrastando con un incremento del 20% en la inversión gubernamental central.","correo",2015-04-11,"GOBIERNO BUSCA PASAR PRESUPUESTO DE UN PROYECTO A OTROS. El Ministerio de Economía y Finanzas (MEF) está preparándose para establecer regulaciones que faciliten la redistribución rápida de fondos asignados a ciertos proyectos de infraestructura pública. Entre enero y marzo, hubo una reducción significativa de más del 50% en la inversión realizada por gobiernos regionales y municipales, contrastando con un incremento del 20% en la inversión gubernamental central.","-1","Unknown",0.0093,"-1","Unknown",0.0083,"169","ministerio economia finanzas, ministerio economia, ministerio economia destaca, plan nacional infraestructura, infraestructura competitividad",1
"Secesionismo Catalán","Analisis político sobre cómo el nuevo liderazgo catalán continúa promoviendo aspiraciones independentistas, resaltando tensiones crecientes con España y posibles repercusiones económicas y políticas futuras.","correo",2016-01-12,"Secesionismo Catalán. Analisis político sobre cómo el nuevo liderazgo catalán continúa promoviendo aspiraciones independentistas, resaltando tensiones crecientes con España y posibles repercusiones económicas y políticas futuras.","107","separatistas catalanes, independencia catalana, independentistas catalanes, referendum independencia, catalanes",0.2779,"103","independentistas catalanes, independentista catalan, independentista, independencia catalunya, referendum catalan",0.1304,"105","carles puigdemont, espanol mariano rajoy, gobierno espanol mariano, separatistas catalanes, puigdemont",0.0146
"Promoción comercial ofrece incentivos notables","Oferta tecnológica presenta beneficios adicionales incentivando consumidores mediante programas especiales temporales.","correo",2015-03-14,"Promoción comercial ofrece incentivos notables. Oferta tecnológica presenta beneficios adicionales incentivando consumidores mediante programas especiales temporales.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0587,"-1","Unknown",0.0309,"-1","Unknown",0.0794
"Capturan mercaderías ilegalizadas masivas","Interceptación exitosa de carga considerable valorada económicamente importante interceptada en punto estratégico fronterizo.","correo",2015-03-14,"Capturan mercaderías ilegalizadas masivas. Interceptación exitosa de carga considerable valorada económicamente importante interceptada en punto estratégico fronterizo.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.3172,"26","clorhidrato cocaina, decomisaron, decomisan, incautan, narcotrafico",0.066,"27","kg clorhidrato cocaina, kilos cocaina, kg cocaina, clorhidrato cocaina, agentes antidrogas",0.0422
"","Denuncia irregularidades en proceso electoral de la UNMSM, atribuyendo manipulaciones sistémicas a grupos dominantes ideológicos adversos.","correo",2016-07-11,". Denuncia irregularidades en proceso electoral de la UNMSM, atribuyendo manipulaciones sistémicas a grupos dominantes ideológicos adversos.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0517,"-1","Unknown",0.0139,"-1","Unknown",0.0056
"Aplican medidas sanitarias urgentes","Servicios básicos suspendidos temporalmente afectando miles de hogares en regiones específicas debido a riesgos bacterianos detectados.","correo",2015-03-14,"Aplican medidas sanitarias urgentes. Servicios básicos suspendidos temporalmente afectando miles de hogares en regiones específicas debido a riesgos bacterianos detectados.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.015,"16","brotes epidemicos, casos dengue, mosquitos, alerta epidemiologica, propagacion viral",0.0148,"-1","Unknown",0.0147
"Revisa detalle de APP a Correo:  César Acuña:","Mis ingresos suman más de S/150 millones  Chotano asegura que recursos provienen de sus universidades=y club deportivo. Su rival Alan García convierte que el ciudadano se da cuenta cuando lo que se quiere hacer es comprar una elección.","correo",2016-01-12,"Revisa detalle de APP a Correo:  César Acuña:. Mis ingresos suman más de S/150 millones  Chotano asegura que recursos provienen de sus universidades=y club deportivo. Su rival Alan García convierte que el ciudadano se da cuenta cuando lo que se quiere hacer es comprar una elección.","-1","Unknown",0.0213,"-1","Unknown",0.025,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.005
"INTERVIEW EXCLUSIVE","Candidato de APP,  Csar Acua, revela cómo provee  negocio y equipo debidamente.  Todo lo obtenemos de manera licita, asegura.","correo",2016-01-12,"INTERVIEW EXCLUSIVE. Candidato de APP,  Csar Acua, revela cómo provee  negocio y equipo debidamente.  Todo lo obtenemos de manera licita, asegura.","-1","Unknown",0.0246,"-1","Unknown",0.0042,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0069
"RESULTADOS POSITIVOS MINISTERIO DE EDUCACIÓN","Informe destaca eficiente gestión fiscal alcanzando récord inversiones en educación pública. Logros tangibles evidencian transformaciones estructurales positivas en ámbitos pedagógicos y administrativos escolares.","correo",2016-01-12,"RESULTADOS POSITIVOS MINISTERIO DE EDUCACIÓN. Informe destaca eficiente gestión fiscal alcanzando récord inversiones en educación pública. Logros tangibles evidencian transformaciones estructurales positivas en ámbitos pedagógicos y administrativos escolares.","24","optimizar recursos, beneficios financieros, inversiones, competitivos, planificacion estrategica",0.0724,"-1","Unknown",0.0096,"15","ministerio educacion, sistema educativo, educacion basica, educacion publica, calidad educativa",0.0543
"Vecindario confronta expansión informal habitacional","Residentes alertan sobre la construcción ilegal de casi ochenta casas dentro de terrenos disputados junto a la costa verde, exacerbando tensiones comunales y preocupaciones ambientales.","correo",2015-07-06,"Vecindario confronta expansión informal habitacional. Residentes alertan sobre la construcción ilegal de casi ochenta casas dentro de terrenos disputados junto a la costa verde, exacerbando tensiones comunales y preocupaciones ambientales.","155","contaminacion urbana, residuos solidos urbanos, contaminacion ambiental, solidos urbanos, problemas ambientales",1,"-1","Unknown",0.0464,"1","municipalidad lima, metro lima, alcalde lima, municipalidad, municipales",0.0316
"Convocatoria Asamblea General","Información relevante dirigida a stakeholders involucrados en decisiones corporativas importantes. Esta reunión será crucial para discusiones estratégicas relacionadas con operaciones actuales y planes futuros.","correo",2015-03-13,"Convocatoria Asamblea General. Información relevante dirigida a stakeholders involucrados en decisiones corporativas importantes. Esta reunión será crucial para discusiones estratégicas relacionadas con operaciones actuales y planes futuros.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.0186,"28","convocatoria asamblea general, convocatoria junta general, asamblea general ordinaria, asamblea general extraordinaria, convocatoria asamblea",0.0534,"39","asamblea general ordinaria, convocatoria asamblea general, asamblea general extraordinaria, convoca asamblea general, asamblea general",0.2784
"Olivia recurrió a sicólogo tras video sexual","Reveló cómo sobrevivió a la difusión del video íntimo junto a su esposa. Fue la época más oscura y profunda en el hoyo de mi vida. Tuve que ir a terapia, al psicólogo y al psiquiatra, compartió acompañado de Karen Schwarz.","correo",2015-11-02,"Olivia recurrió a sicólogo tras video sexual. Reveló cómo sobrevivió a la difusión del video íntimo junto a su esposa. Fue la época más oscura y profunda en el hoyo de mi vida. Tuve que ir a terapia, al psicólogo y al psiquiatra, compartió acompañado de Karen Schwarz.","-1","Unknown",0.0535,"117","sobriedad, dependencia alcoholica, recuperarse completamente, alcoholica, psiquiatrico",0.0907,"-1","Unknown",0.0259
"Reducción de Capital Social Construcciones Modulares S.A.","During shareholders meeting held September 25th, 2015, reduction of company capital was approved amounting to S/. 751,209.00 distributed amongst stakeholders following legal procedures outlined within corporate law regulations.","correo",2015-10-02,"Reducción de Capital Social Construcciones Modulares S.A.. During shareholders meeting held September 25th, 2015, reduction of company capital was approved amounting to S/. 751,209.00 distributed amongst stakeholders following legal procedures outlined within corporate law regulations.","27","ley general sociedades, junta general accionistas, reduccion capital social, general accionistas, articulo ley general",0.072,"1","concerning, towards, government, first, ministry",0.2044,"118","reducir capital social, reduccion capital social, reducir capital, reduccion capital, reduccion capital mediante",0.1957
