"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Playa Carpayo es la Más Contaminada","Según el ranking elaborado por la organización ambientalista VIDA, un total de 60 mil kilos de basura convierte, año tras año, a la playa Carpayo del Callao en la más contaminada del país.","correo",2016-01-13,"Playa Carpayo es la Más Contaminada. Según el ranking elaborado por la organización ambientalista VIDA, un total de 60 mil kilos de basura convierte, año tras año, a la playa Carpayo del Callao en la más contaminada del país.","-1","Unknown",0.0561,"-1","Unknown",0.0292,"138","residuos solidos urbanos, acumulacion residuos solidos, problemas ambientales, contaminacion urbana, residuos solidos",1
"Revisa detalle de APP a Correo:  César Acuña:","Mis ingresos suman más de S/150 millones  Chotano asegura que recursos provienen de sus universidades=y club deportivo. Su rival Alan García convierte que el ciudadano se da cuenta cuando lo que se quiere hacer es comprar una elección.","correo",2016-01-12,"Revisa detalle de APP a Correo:  César Acuña:. Mis ingresos suman más de S/150 millones  Chotano asegura que recursos provienen de sus universidades=y club deportivo. Su rival Alan García convierte que el ciudadano se da cuenta cuando lo que se quiere hacer es comprar una elección.","-1","Unknown",0.0213,"-1","Unknown",0.025,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.005
"INTERVIEW EXCLUSIVE","Candidato de APP,  Csar Acua, revela cómo provee  negocio y equipo debidamente.  Todo lo obtenemos de manera licita, asegura.","correo",2016-01-12,"INTERVIEW EXCLUSIVE. Candidato de APP,  Csar Acua, revela cómo provee  negocio y equipo debidamente.  Todo lo obtenemos de manera licita, asegura.","-1","Unknown",0.0246,"-1","Unknown",0.0042,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0069
"Vecindario confronta expansión informal habitacional","Residentes alertan sobre la construcción ilegal de casi ochenta casas dentro de terrenos disputados junto a la costa verde, exacerbando tensiones comunales y preocupaciones ambientales.","correo",2015-07-06,"Vecindario confronta expansión informal habitacional. Residentes alertan sobre la construcción ilegal de casi ochenta casas dentro de terrenos disputados junto a la costa verde, exacerbando tensiones comunales y preocupaciones ambientales.","155","contaminacion urbana, residuos solidos urbanos, contaminacion ambiental, solidos urbanos, problemas ambientales",1,"-1","Unknown",0.0464,"1","municipalidad lima, metro lima, alcalde lima, municipalidad, municipales",0.0316
"Renuncio a distincin","Universidad Complutense de Madrid y la Universidad de Lima, respecto a los presuntos plagios cometidos por Carlos Acuña. Siempre es un tema de evaluación de acuerdo a cómo los acontecimientos tan dolorosos se están sedimentando (...) Estoy analizando sin apremio ni apuro. Pero, obviamente (la noticia de plagio) es una pauta que debo analizar para ver cual será mi línea futura (...)","correo",2016-02-10,"Renuncio a distincin. Universidad Complutense de Madrid y la Universidad de Lima, respecto a los presuntos plagios cometidos por Carlos Acuña. Siempre es un tema de evaluación de acuerdo a cómo los acontecimientos tan dolorosos se están sedimentando (...) Estoy analizando sin apremio ni apuro. Pero, obviamente (la noticia de plagio) es una pauta que debo analizar para ver cual será mi línea futura (...)","-1","Unknown",0.0013,"-1","Unknown",0.0109,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0205
"PARTIDO DE CARLOS ACUA SE LAVA LAS MANOS","APP niega autoria de spot de Martin Luther King y contradice a Townsend... Luego de que llovieran las críticas por la difusión de un spot en el que se compara implícitamente al candidato presidencial Carlos Acuña con el fallecido Premio Nobel de la paz Martín Luther King, el partido Alianza para el Progreso (APP) negó haber financiado dicho producto audiovisual.","correo",2016-02-10,"PARTIDO DE CARLOS ACUA SE LAVA LAS MANOS. APP niega autoria de spot de Martin Luther King y contradice a Townsend... Luego de que llovieran las críticas por la difusión de un spot en el que se compara implícitamente al candidato presidencial Carlos Acuña con el fallecido Premio Nobel de la paz Martín Luther King, el partido Alianza para el Progreso (APP) negó haber financiado dicho producto audiovisual.","-1","Unknown",0.0135,"-1","Unknown",0.0079,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0095
"Toledo renuncia a Honoris Causa otorgado por la universidad del candidato de APP acusado de plagio","Además de líder de Per Posible, casa de estudios entregó distinción a diversas personalidades como Mario Vargas Llosa, Marcial Rubio, Francisco Túvará y Beatriz Merino.  Que incluso el Nobel de Literatura, el escritor Mario Vargas Llosa, recibió esta condecoración de manos del mismo Carlos Acuña el 2009.","correo",2016-02-10,"Toledo renuncia a Honoris Causa otorgado por la universidad del candidato de APP acusado de plagio. Además de líder de Per Posible, casa de estudios entregó distinción a diversas personalidades como Mario Vargas Llosa, Marcial Rubio, Francisco Túvará y Beatriz Merino.  Que incluso el Nobel de Literatura, el escritor Mario Vargas Llosa, recibió esta condecoración de manos del mismo Carlos Acuña el 2009.","26","extradicion expresidente alejandro, expresidente alejandro toledo, presidente alejandro toledo, abogado toledo, expresidente alejandro",0.0384,"-1","Unknown",0.01,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0243
"Denuncias de Plagio Contra Candidato","Indignación surge luego de hallar similitudes significativas entre la tesis doctoral de Csar Acuña obtenida en Colombia y obras previas escritas por académicos reconocidos. Las sospechas crecen mientras figuras públicas demandan claridad y acciones judiciales pertinentes frente a estas graves imputaciones.","correo",2016-02-09,"Denuncias de Plagio Contra Candidato. Indignación surge luego de hallar similitudes significativas entre la tesis doctoral de Csar Acuña obtenida en Colombia y obras previas escritas por académicos reconocidos. Las sospechas crecen mientras figuras públicas demandan claridad y acciones judiciales pertinentes frente a estas graves imputaciones.","-1","Unknown",0.0236,"-1","Unknown",0.015,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",1
"Evalúación. Caso Plagio de Acuña","Csar Palomino, candidato al Congreso de Restauración Nacional en la lista de APP, informó que el partido que lidera Humboldt Loyón evaluará hoy el impacto de las últimas noticias contra Csar Acuña.  El equipo del partido Alianza Para el Progreso (APP) decidió pasar a la ofensiva, agobiado por la serie de denuncias a su candidato presidencial. Tras la oleada de acusaciones de plagio contra su líder y candidato presidencial, Csar Acuña, Tomás López Varadero, autor del libro Educación Comparada, conceptos, experiencias y propuestas por difamación.","correo",2016-02-09,"Evalúación. Caso Plagio de Acuña. Csar Palomino, candidato al Congreso de Restauración Nacional en la lista de APP, informó que el partido que lidera Humboldt Loyón evaluará hoy el impacto de las últimas noticias contra Csar Acuña.  El equipo del partido Alianza Para el Progreso (APP) decidió pasar a la ofensiva, agobiado por la serie de denuncias a su candidato presidencial. Tras la oleada de acusaciones de plagio contra su líder y candidato presidencial, Csar Acuña, Tomás López Varadero, autor del libro Educación Comparada, conceptos, experiencias y propuestas por difamación.","-1","Unknown",0.0041,"-1","Unknown",0.0057,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.111
"Si Acuña Fuera PRESIDENTE","Observando el peculiar modo de protección empleado por los allegados del aspirante presidencial Carlos Acuña frente a las claras evidencias de plagio y usurpación literaria, podríamos hacernos una idea aproximada de qué nos espera en el país si ganase las próximas elecciones el Partido Acción Popular (APP); dado que a tales individuos ni balas detienen, dispuestos están a justificar lo injustificable tratando de convencer a los peruanos de lo contrario. Imaginen a los partidarios de Acuña gobernando nuestro país: Negarán hechos indubitables simplemente por provocar carcajadas y enfurecer a nuestros conciudadanos, tal como actualmente acontece. Remítanse a episodios históricos similares protagonizados por figuras como Ana Elizabeth Townshend y Vladmir Paz de la Barraca, quien incluso prometió llevar a juicio civil al genuino creador del texto que su líder desea compartir créditos sin haber contribuido palabra alguna. Subrayando afirmaciones populares como ‘Nosotros estamos trabajando para ayudar a los pobres’ o ‘Lo único que importa a los peruanos es su propio interés’, Acuña y su séquito harían gala de ignorancia flagrante ante casos palpables de corrupción o infracciones penales detectadas dentro de su eventual mandato, recurriendo siempre al absurdo argumento de que ‘los grupos dominantes nunca aceptarán que un humilde ascendiera a Presidente’. Sin embargo, nuestra reflexión no debe limitarse únicamente a conductas corruptas. Consideremos qué sucedería si el régimen de APP implementara decisiones erráticas necesitadas de corrección posterior. Basándonos en observaciones recientes, resulta improbable pensar que dicho gobierno pueda mostrar receptibilidad a criticas constructivas o recomendaciones externas. Todo error cometido sería excusable bajo el amparo divino otorgado a su figura central, relegando comentarios adversos a meras trivialidades. ¡Que triunfen!","correo",2016-02-09,"Si Acuña Fuera PRESIDENTE. Observando el peculiar modo de protección empleado por los allegados del aspirante presidencial Carlos Acuña frente a las claras evidencias de plagio y usurpación literaria, podríamos hacernos una idea aproximada de qué nos espera en el país si ganase las próximas elecciones el Partido Acción Popular (APP); dado que a tales individuos ni balas detienen, dispuestos están a justificar lo injustificable tratando de convencer a los peruanos de lo contrario. Imaginen a los partidarios de Acuña gobernando nuestro país: Negarán hechos indubitables simplemente por provocar carcajadas y enfurecer a nuestros conciudadanos, tal como actualmente acontece. Remítanse a episodios históricos similares protagonizados por figuras como Ana Elizabeth Townshend y Vladmir Paz de la Barraca, quien incluso prometió llevar a juicio civil al genuino creador del texto que su líder desea compartir créditos sin haber contribuido palabra alguna. Subrayando afirmaciones populares como ‘Nosotros estamos trabajando para ayudar a los pobres’ o ‘Lo único que importa a los peruanos es su propio interés’, Acuña y su séquito harían gala de ignorancia flagrante ante casos palpables de corrupción o infracciones penales detectadas dentro de su eventual mandato, recurriendo siempre al absurdo argumento de que ‘los grupos dominantes nunca aceptarán que un humilde ascendiera a Presidente’. Sin embargo, nuestra reflexión no debe limitarse únicamente a conductas corruptas. Consideremos qué sucedería si el régimen de APP implementara decisiones erráticas necesitadas de corrección posterior. Basándonos en observaciones recientes, resulta improbable pensar que dicho gobierno pueda mostrar receptibilidad a criticas constructivas o recomendaciones externas. Todo error cometido sería excusable bajo el amparo divino otorgado a su figura central, relegando comentarios adversos a meras trivialidades. ¡Que triunfen!","-1","Unknown",0.0168,"-1","Unknown",0.0122,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0062
"<augusto_rey>","[Queda claramente demostrado que Carlos Acuña no está diciendo la verdad, buscando engañarnos y, aún más grave, en sus intentos de autodefensa, parece engañarse a sí mismo. Documentación tras documentación lo traicionan, comenzando quizás con su tesis doctoral, posiblemente también con su tesis de magíster y definitivamente con un libro completo. Esta estrategia de engaños involucra también a aquellos que continúan defendiéndole o guardándose silencio cómplice. Nos encontramos ante un papel de magnitudes internacionales jamás vistas anteriormente. Más claro, imposible. Pero cuando pensábamos que la situación no podría empeorar, recientemente surgieron comportamientos desconocidos del candidato nororiental y su grupo acompañante. En lugar de responder con argumentos sólidos a las severas acusaciones que comprometen seriamente su candidatura y buscar revertirla, él junto a sus portavoces lanzan amenazas hacia periodistas y académicos: Acuña menciona iniciar procesos legales contra quienes están detrás de dichas acusaciones para perjudicarlo, Viadrón Paz de la Barraca señala que demandará al Profesor Oniel Álvarez, a quién asegura le robaron completamente un libro, y además, como si fuera algo personal, el hijo de éste último amenaza públicamente mediante redes sociales con confrontar físicamente al periodista Agustín Thomdike. Además, el docente víctima de plagio ha revelado recibir amenazas directas hacia él y su familia. No cabe ninguna duda: existe una diferencia significativa entre defenderse políticamente, administrativamente y legalmente – derechos inherentes a cualquier candidato– y actuar como una mafia liberando bravatas indiscriminadamente. ¿Cómo será entonces su gestión gubernamental si así es cómo lidera su campaña política? Mejor evitemos conocerlo.","correo",2016-02-09,"<augusto_rey>. [Queda claramente demostrado que Carlos Acuña no está diciendo la verdad, buscando engañarnos y, aún más grave, en sus intentos de autodefensa, parece engañarse a sí mismo. Documentación tras documentación lo traicionan, comenzando quizás con su tesis doctoral, posiblemente también con su tesis de magíster y definitivamente con un libro completo. Esta estrategia de engaños involucra también a aquellos que continúan defendiéndole o guardándose silencio cómplice. Nos encontramos ante un papel de magnitudes internacionales jamás vistas anteriormente. Más claro, imposible. Pero cuando pensábamos que la situación no podría empeorar, recientemente surgieron comportamientos desconocidos del candidato nororiental y su grupo acompañante. En lugar de responder con argumentos sólidos a las severas acusaciones que comprometen seriamente su candidatura y buscar revertirla, él junto a sus portavoces lanzan amenazas hacia periodistas y académicos: Acuña menciona iniciar procesos legales contra quienes están detrás de dichas acusaciones para perjudicarlo, Viadrón Paz de la Barraca señala que demandará al Profesor Oniel Álvarez, a quién asegura le robaron completamente un libro, y además, como si fuera algo personal, el hijo de éste último amenaza públicamente mediante redes sociales con confrontar físicamente al periodista Agustín Thomdike. Además, el docente víctima de plagio ha revelado recibir amenazas directas hacia él y su familia. No cabe ninguna duda: existe una diferencia significativa entre defenderse políticamente, administrativamente y legalmente – derechos inherentes a cualquier candidato– y actuar como una mafia liberando bravatas indiscriminadamente. ¿Cómo será entonces su gestión gubernamental si así es cómo lidera su campaña política? Mejor evitemos conocerlo.","-1","Unknown",0.0186,"-1","Unknown",0.0166,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.0898
"LA COMPAÑÍA ADMITE PLAGIO POR PARTE DE CSAR ACUA","Se critica duramente al candidato político Caár Acúa por haber utilizado material ajeno en sus escritos académicos, generando controversia nacional e internacionales. Las defensas presentadas parecen insuficientes frente a las múltiples instancias de copia detectadas.","correo",2016-02-09,"LA COMPAÑÍA ADMITE PLAGIO POR PARTE DE CSAR ACUA. Se critica duramente al candidato político Caár Acúa por haber utilizado material ajeno en sus escritos académicos, generando controversia nacional e internacionales. Las defensas presentadas parecen insuficientes frente a las múltiples instancias de copia detectadas.","-1","Unknown",0.0144,"-1","Unknown",0.0231,"64","acusaciones plagio, cesar acuna peralta, presidencial alianza progreso, cesar acuna, acuna peralta",0.152
