"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó el traslado de fondos para la compra de vacunas";"NA";"NA";"El Gobierno autorizó el traslado de fondos para la compra de vacunas contra el coronavirus. La medida fue anunciada ayer por el Ministerio de Salud, que aseguró que se adquirirán dosis adicionales para completar el esquema de vacunación de la población.";"trome";"2021-03-02";"2"
"El dólar blue sigue en alza";"NA";"NA";"El dólar blue continúa en ascenso y alcanzó un nuevo máximo histórico. Los analistas atribuyen esta subida a la incertidumbre económica y a la falta de confianza en el mercado.";"trome";"2021-03-02";"2"
"El Banco Central subió la tasa de interés";"NA";"NA";"El Banco Central decidió subir la tasa de interés en un intento por controlar la inflación. La medida busca enfriar la economía y reducir el aumento de los precios.";"trome";"2021-03-02";"2"
"Nueva ola de contagios de coronavirus";"Preocupación en aumento";"NA";"Las autoridades sanitarias alertaron sobre una nueva ola de contagios de coronavirus. Se recomienda a la población reforzar las medidas de prevención, como el uso de barbijo y el lavado de manos.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de ayuda social";"NA";"NA";"El Gobierno anunció un nuevo plan de ayuda social para las familias más vulnerables. El plan incluye una serie de beneficios, como la entrega de alimentos y la asistencia económica.";"trome";"2021-03-02";"2"
"El INDEC publicó los datos de inflación de marzo";"NA";"NA";"El INDEC publicó los datos de inflación de marzo, que muestran un aumento significativo de los precios. La inflación acumulada en el primer trimestre del año supera el 10%.";"trome";"2021-03-02";"2"
"El Gobierno evalúa nuevas medidas para controlar la inflación";"NA";"NA";"El Gobierno evalúa nuevas medidas para controlar la inflación, incluyendo la posibilidad de congelar precios y aumentar las tasas de interés.";"trome";"2021-03-02";"2"
"El dólar blue se mantiene estable";"NA";"NA";"El dólar blue se mantiene estable en los últimos días, luego de la fuerte subida que experimentó en las semanas anteriores.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo aumento en las tarifas de energía";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de energía, que entrará en vigor a partir del próximo mes. La medida generó críticas por parte de la oposición.";"trome";"2021-03-02";"2"
"El INDEC publicó los datos de desempleo del primer trimestre";"NA";"NA";"El INDEC publicó los datos de desempleo del primer trimestre, que muestran una leve disminución en la tasa de desempleo.";"trome";"2021-03-02";"2"
"El Gobierno evalúa la posibilidad de un nuevo feriado nacional";"NA";"NA";"El Gobierno evalúa la posibilidad de un nuevo feriado nacional para impulsar el turismo interno.";"trome";"2021-03-02";"2"
"El dólar blue continúa en alza";"NA";"NA";"El dólar blue continúa en alza y supera los 200 pesos. Los analistas atribuyen esta subida a la incertidumbre económica y a la falta de confianza en el mercado.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció un nuevo plan de obras públicas para generar empleo y dinamizar la economía.";"trome";"2021-03-02";"2"
"El INDEC publicó los datos de pobreza del primer semestre";"NA";"NA";"El INDEC publicó los datos de pobreza del primer semestre, que muestran un aumento en el porcentaje de personas que viven en situación de pobreza.";"trome";"2021-03-02";"2"
"El Gobierno evalúa nuevas medidas para controlar la inflación";"NA";"NA";"El Gobierno evalúa nuevas medidas para controlar la inflación, incluyendo la posibilidad de congelar precios y aumentar las tasas de interés.";"trome";"2021-03-02";"2"
"El dólar blue se mantiene estable";"NA";"NA";"El dólar blue se mantiene estable en los últimos días, luego de la fuerte subida que experimentó en las semanas anteriores.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo aumento en las tarifas de energía";"NA";"NA";"El Gobierno anunció un nuevo aumento en las tarifas de energía, que entrará en vigor a partir del próximo mes. La medida generó críticas por parte de la oposición.";"trome";"2021-03-02";"2"
"El INDEC publicó los datos de desempleo del primer trimestre";"NA";"NA";"El INDEC publicó los datos de desempleo del primer trimestre, que muestran una leve disminución en la tasa de desempleo.";"trome";"2021-03-02";"2"
"El Gobierno evalúa la posibilidad de un nuevo feriado nacional";"NA";"NA";"El Gobierno evalúa la posibilidad de un nuevo feriado nacional para impulsar el turismo interno.";"trome";"2021-03-02";"2"
