"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronáutica (Fadea) y se financiará con créditos internacionales. Los aviones serán utilizados para reforzar la defensa aérea del país y reemplazar la flota de aviones Mirage antiguos.";"trome";"2021-03-02";"2"
"El dólar blue toca un máximo histórico";"La cotización alcanza los $350";"NA";"El dólar blue alcanzó hoy un nuevo máximo histórico en el mercado informal, cotizando a $350. La suba se debe a la incertidumbre económica y política que vive el país, así como a la alta demanda de divisas por parte de empresas y particulares. Los analistas advierten que esta tendencia podría continuar en los próximos días.";"trome";"2021-03-02";"2"
"La inflación sigue descontrolada";"El índice de precios al consumidor aumentó 8% en un mes";"NA";"La inflación en Argentina sigue siendo un problema grave, con un aumento del 8% en el índice de precios al consumidor en el último mes. Esto significa que los precios de los alimentos, los servicios y otros bienes y servicios aumentaron significativamente, lo que afecta el poder adquisitivo de los ciudadanos. El Gobierno anunció nuevas medidas para intentar controlar la inflación, pero los resultados aún son inciertos.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de ahorro";"NA";"NA";"El Gobierno anunció un nuevo plan de ahorro para incentivar a los ciudadanos a ahorrar en pesos. El plan ofrece una tasa de interés del 5% anual para los depósitos a plazo fijo en pesos, así como beneficios fiscales para aquellos que inviertan en fondos comunes de inversión en pesos. El objetivo del plan es fortalecer el peso y reducir la demanda de dólares.";"trome";"2021-03-02";"2"
"El dólar oficial supera los $300";"NA";"NA";"El dólar oficial superó hoy la barrera de los $300 en el mercado cambiario. Esta suba se debe a la devaluación del peso y a la alta demanda de dólares por parte de empresas y particulares. El Gobierno anunció nuevas medidas para intentar controlar el tipo de cambio, pero los resultados aún son inciertos.";"trome";"2021-03-02";"2"
"El Gobierno anunció un aumento en las tarifas de los servicios públicos";"NA";"NA";"El Gobierno anunció un aumento en las tarifas de los servicios públicos, como la electricidad, el gas y el agua. El aumento se justifica por la necesidad de cubrir los costos de producción y de inversión en infraestructura. La medida generó críticas por parte de la oposición y de los usuarios.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo programa de asistencia social";"NA";"NA";"El Gobierno anunció un nuevo programa de asistencia social para ayudar a las familias más vulnerables. El programa incluye una asignación mensual para cubrir las necesidades básicas, como alimentos, vivienda y salud. La medida generó expectativas por parte de los beneficiarios.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció un nuevo plan de obras públicas para impulsar la economía y generar empleo. El plan incluye la construcción de carreteras, hospitales, escuelas y otras infraestructuras. La medida generó expectativas por parte de los empresarios y de los trabajadores.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo acuerdo con el Fondo Monetario Internacional";"NA";"NA";"El Gobierno anunció un nuevo acuerdo con el Fondo Monetario Internacional para reestructurar la deuda externa. El acuerdo incluye un préstamo de 4.000 millones de dólares y un programa de ajuste económico. La medida generó críticas por parte de la oposición y de los sindicatos.";"trome";"2021-03-02";"2"
"El Gobierno anunció un nuevo programa de incentivos para la inversión extranjera";"NA";"NA";"El Gobierno anunció un nuevo programa de incentivos para la inversión extranjera. El programa incluye beneficios fiscales, facilidades para la importación de bienes de capital y garantías para la protección de las inversiones. La medida generó expectativas por parte de los inversores extranjeros.";"trome";"2021-03-02";"2"
