"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Recordación Batalla de Arica","Se celebra la gesta heroica de Francisco Bolognesi y su tropa defendiendo la plaza de Arica contra el ejército chileno, destacándose su supremo patriotismo.","correo",2015-06-08,"Recordación Batalla de Arica. Se celebra la gesta heroica de Francisco Bolognesi y su tropa defendiendo la plaza de Arica contra el ejército chileno, destacándose su supremo patriotismo.","-1","Unknown",0.0173,"104","batalla ayacucho, fuerzas peruanas, independencia peruana, patriotas, glorioso",0.2813,"92","batalla ayacucho, independencia peruana, independencia peru, francisco bolognesi, ayacucho",1
"Secesionismo Catalán","Analisis político sobre cómo el nuevo liderazgo catalán continúa promoviendo aspiraciones independentistas, resaltando tensiones crecientes con España y posibles repercusiones económicas y políticas futuras.","correo",2016-01-12,"Secesionismo Catalán. Analisis político sobre cómo el nuevo liderazgo catalán continúa promoviendo aspiraciones independentistas, resaltando tensiones crecientes con España y posibles repercusiones económicas y políticas futuras.","107","separatistas catalanes, independencia catalana, independentistas catalanes, referendum independencia, catalanes",0.2779,"103","independentistas catalanes, independentista catalan, independentista, independencia catalunya, referendum catalan",0.1304,"105","carles puigdemont, espanol mariano rajoy, gobierno espanol mariano, separatistas catalanes, puigdemont",0.0146
"Olivia recurrió a sicólogo tras video sexual","Reveló cómo sobrevivió a la difusión del video íntimo junto a su esposa. Fue la época más oscura y profunda en el hoyo de mi vida. Tuve que ir a terapia, al psicólogo y al psiquiatra, compartió acompañado de Karen Schwarz.","correo",2015-11-02,"Olivia recurrió a sicólogo tras video sexual. Reveló cómo sobrevivió a la difusión del video íntimo junto a su esposa. Fue la época más oscura y profunda en el hoyo de mi vida. Tuve que ir a terapia, al psicólogo y al psiquiatra, compartió acompañado de Karen Schwarz.","-1","Unknown",0.0535,"117","sobriedad, dependencia alcoholica, recuperarse completamente, alcoholica, psiquiatrico",0.0907,"-1","Unknown",0.0259
"MINEDU: DECISIÓN PREOCUPANTE","Durante varios años se notó que algunos niños abandonaban la escolarización prematuramente, algo contrario a lo recomendado según su desarrollo evolutivo. Anteriormente, directores permitían inscribir a estudiantes fuera de su grado correcto. Desde 2011, el Ministerio de Educación intentó corregir esto mediante regulaciones específicas acerca de las edades mínimas requeridas para ingresar a niveles particulares. Ahora surge la pregunta: ¿qué está motivando nuevas decisiones contradictorias?","correo",2016-02-10,"MINEDU: DECISIÓN PREOCUPANTE. Durante varios años se notó que algunos niños abandonaban la escolarización prematuramente, algo contrario a lo recomendado según su desarrollo evolutivo. Anteriormente, directores permitían inscribir a estudiantes fuera de su grado correcto. Desde 2011, el Ministerio de Educación intentó corregir esto mediante regulaciones específicas acerca de las edades mínimas requeridas para ingresar a niveles particulares. Ahora surge la pregunta: ¿qué está motivando nuevas decisiones contradictorias?","-1","Unknown",0.03,"67","instituciones educativas, persisten carencias, sistema escolar, centros educacionales, inclusion educativa",0.2284,"15","ministerio educacion, sistema educativo, educacion basica, educacion publica, calidad educativa",0.047
"Bobbi Kristina ya no puede vivir más","Hoy desconectarán a la hija de Whitney Houston después de tres años de estar en coma. Según publicó el periódico New York Post, la decisión familiar responde a la falta de esperanzas de mejora significativa en su condición.","correo",2015-02-11,"Bobbi Kristina ya no puede vivir más. Hoy desconectarán a la hija de Whitney Houston después de tres años de estar en coma. Según publicó el periódico New York Post, la decisión familiar responde a la falta de esperanzas de mejora significativa en su condición.","-1","Unknown",0.0129,"117","sobriedad, dependencia alcoholica, recuperarse completamente, alcoholica, psiquiatrico",0.1854,"-1","Unknown",0.0096
"Hermano de Mariah Carey dice que corre peligro de morir intoxicada","Michael Morgan, hermano de la célebre cantante Mariah Carey, manifestó preocupación pública sobre el consumo problemático de drogas y alcohol de su hermana, comparando potencialmente su destino fatal con el de Whitney Houston.","correo",2015-06-06,"Hermano de Mariah Carey dice que corre peligro de morir intoxicada. Michael Morgan, hermano de la célebre cantante Mariah Carey, manifestó preocupación pública sobre el consumo problemático de drogas y alcohol de su hermana, comparando potencialmente su destino fatal con el de Whitney Houston.","-1","Unknown",0.0721,"117","sobriedad, dependencia alcoholica, recuperarse completamente, alcoholica, psiquiatrico",1,"74","tiene cancer, cancer pancreatico, enfermedad, diagnostico cancer, michael jackson",0.0679
"COREA DEL SUR CRISIS EDUCATIVA","Analizando el extremadamente riguroso sistema escolar sur-coreano, observamos consecuencias negativas significativas en jóvenes, tales como elevados índices de ansiedad y depresión derivados de intensas demandas académicas.","correo",2015-06-05,"COREA DEL SUR CRISIS EDUCATIVA. Analizando el extremadamente riguroso sistema escolar sur-coreano, observamos consecuencias negativas significativas en jóvenes, tales como elevados índices de ansiedad y depresión derivados de intensas demandas académicas.","-1","Unknown",0.0014,"67","instituciones educativas, persisten carencias, sistema escolar, centros educacionales, inclusion educativa",0.1566,"15","ministerio educacion, sistema educativo, educacion basica, educacion publica, calidad educativa",0.043
"ARGENTINA CELEBRACIÓN PATRIOTA","Recordatorio histórico de la declaración de independencia liderada por José de San Martín. Relata cómo las gestas libertadoras conectaron profundamente a países sudamericanos compartiendo ideales revolucionarios.","correo",2016-07-10,"ARGENTINA CELEBRACIÓN PATRIOTA. Recordatorio histórico de la declaración de independencia liderada por José de San Martín. Relata cómo las gestas libertadoras conectaron profundamente a países sudamericanos compartiendo ideales revolucionarios.","-1","Unknown",0.0242,"104","batalla ayacucho, fuerzas peruanas, independencia peruana, patriotas, glorioso",1,"92","batalla ayacucho, independencia peruana, independencia peru, francisco bolognesi, ayacucho",0.0209
"Combate Naval de Abtao Sesquicentenario","Recordamos el combate naval ocurrido el 7 de Febrero de 1866 enfrentando la flota española y la división chilano-peruana. Contextualizado tras tensiones diplomáticas derivadas de intervencionismos europeos en América Latina, culmina en acciones militares decisivas cerca de Isla de Abtao. Esta confrontación marcaría precedentes históricos relevantes en defensa territorial sudamericana.","correo",2016-02-07,"Combate Naval de Abtao Sesquicentenario. Recordamos el combate naval ocurrido el 7 de Febrero de 1866 enfrentando la flota española y la división chilano-peruana. Contextualizado tras tensiones diplomáticas derivadas de intervencionismos europeos en América Latina, culmina en acciones militares decisivas cerca de Isla de Abtao. Esta confrontación marcaría precedentes históricos relevantes en defensa territorial sudamericana.","52","espionaje chileno, chileno heraldo, chileno heraldo munoz, canciller chileno, chileno",0.0288,"104","batalla ayacucho, fuerzas peruanas, independencia peruana, patriotas, glorioso",0.0442,"92","batalla ayacucho, independencia peruana, independencia peru, francisco bolognesi, ayacucho",1
"Johnny Deep emocional por hija enferma","Durante una charla con Graham Norton, Johnny Depp compartió sentimientos encontrados refiriéndose a un periodo difícil vivido años atrás cuando su hija enfrentó problemas graves de salud.","correo",2015-11-30,"Johnny Deep emocional por hija enferma. Durante una charla con Graham Norton, Johnny Depp compartió sentimientos encontrados refiriéndose a un periodo difícil vivido años atrás cuando su hija enfrentó problemas graves de salud.","-1","Unknown",0.0473,"117","sobriedad, dependencia alcoholica, recuperarse completamente, alcoholica, psiquiatrico",0.1159,"-1","Unknown",0.024
