"headline";"subheadline";"author";"content";"newspaper_name";"publication_date";"page_number"
"El Gobierno autorizó la compra de 24 aviones de combate";"NA";"NA";"El Gobierno autorizó la compra de 24 aviones de combate Mirage 2000 a Francia por un monto de 8.000 millones de dólares. La operación se realizó a través de la empresa estatal Corporación Argentina de Aeronaves (CAA) y se financiará con créditos internacionales. Los aviones serán utilizados para reforzar la defensa aérea del país y reemplazar la flota de aviones Mirage III que está llegando al final de su vida útil.";"trome";"2021-03-02";"2"
"El dólar blue sube y alcanza un nuevo récord";"NA";"NA";"El dólar blue cerró la jornada de hoy en un nuevo máximo histórico, alcanzando los $350. La suba se debe a la incertidumbre económica y política que vive el país, así como a la alta demanda de divisas por parte de empresas y particulares. Los analistas advierten que esta tendencia podría continuar en los próximos días.";"trome";"2021-03-02";"2"
"La Selección Argentina se prepara para el Mundial de Qatar";"NA";"NA";"La Selección Argentina continúa su preparación para el Mundial de Qatar, que se celebrará del 20 de noviembre al 18 de diciembre. El equipo dirigido por Lionel Scaloni se encuentra concentrado en la ciudad de Abu Dhabi, donde realizará una serie de amistosos y entrenamientos. Los jugadores se mostraron optimistas y confiados en poder lograr un buen desempeño en el torneo.";"trome";"2021-03-02";"2"
"El Banco Central sube la tasa de interés";"NA";"NA";"El Banco Central de la República Argentina (BCRA) decidió subir la tasa de interés de referencia en 300 puntos básicos, hasta el 75%. La medida busca contener la inflación y evitar una mayor depreciación del peso. Los analistas advierten que la suba de la tasa podría tener un impacto negativo en la actividad económica.";"trome";"2021-03-02";"2"
"El Gobierno anuncia nuevas medidas para combatir la inflación";"NA";"NA";"El Gobierno anunció una serie de nuevas medidas para combatir la inflación, que incluyen la reducción de impuestos a ciertos productos, el aumento de las tasas de interés y el control de precios. Las medidas buscan frenar el aumento de los precios y proteger el poder adquisitivo de los ciudadanos.";"trome";"2021-03-02";"2"
"El INDEC publica los datos de inflación de abril";"NA";"NA";"El Instituto Nacional de Estadística y Censos (INDEC) publicó los datos de inflación de abril, que muestran un aumento del 8,4% en los precios al consumidor. La inflación acumulada en los primeros cuatro meses del año es del 32,8%.";"trome";"2021-03-02";"2"
"El Gobierno lanza un nuevo programa de asistencia social";"NA";"NA";"El Gobierno lanzó un nuevo programa de asistencia social destinado a familias de bajos ingresos. El programa incluye una ayuda económica mensual, acceso a servicios de salud y educación, y capacitación laboral.";"trome";"2021-03-02";"2"
"El Senado aprueba la ley de presupuestos";"NA";"NA";"El Senado aprobó la ley de presupuestos para el próximo año. La ley establece los gastos y los ingresos del Estado, y prevé un déficit fiscal del 3% del Producto Bruto Interno.";"trome";"2021-03-02";"2"
"El Congreso debate la reforma previsional";"NA";"NA";"El Congreso debate la reforma previsional, que busca modificar el sistema de jubilaciones y pensiones. La reforma prevé un aumento de la edad de jubilación, una reducción de las prestaciones y un aumento de las contribuciones.";"trome";"2021-03-02";"2"
"El Gobierno anuncia un nuevo plan de obras públicas";"NA";"NA";"El Gobierno anunció un nuevo plan de obras públicas que incluye la construcción de carreteras, hospitales, escuelas y viviendas. El plan prevé una inversión de 10.000 millones de dólares y la creación de 50.000 puestos de trabajo.";"trome";"2021-03-02";"2"
