"headline";"subheadline";"author";"content";"newspaper";"date";"combined_text";"agreed_topic";"agreed_topic_prob";"agreed_topic_label"
"(01) 7135099 - 0829077773 (Línea Gratuita) o visítanos en www.mazdapé.";"";" ";"";"correo";"2014/12/16";"(01) 7135099 - 0829077773 (Línea Gratuita) o visítanos en www.mazdapé.. .";"-1";"0.345";"Unknown"
"Presidente de la FPF deja el cargo";"Gi niraura electoral ética";"";"Pide suspender a José Antonio García\nMartín Bustamante / Foto: DiarioCorreo\nPresidente de la FPF deja el cargo\nGi niraura electoral ética\nPide suspender a José Antonio García.";"correo";"2014/12/16";"Presidente de la FPF deja el cargo. Gi niraura electoral ética. Pide suspender a José Antonio García\nMartín Bustamante / Foto: DiarioCorreo\nPresidente de la FPF deja el cargo\nGi niraura electoral ética\nPide suspender a José Antonio García.";"-1";"0.3794";"Unknown"
"Exdirectora de la Procuraduría enfrenta reprensión ministerial luego de solicitar información relevante a Odebrecht, evidenciando conflictos éticos gubernamentales.";"";"";"";"correo";"2014/12/16";"Exdirectora de la Procuraduría enfrenta reprensión ministerial luego de solicitar información relevante a Odebrecht, evidenciando conflictos éticos gubernamentales.. .";"0";"1.0";"reunión, productos, investigación, lossio, economía"
"Nacional Deportes";"Deporte";"Correo";"Maxi Nuñez espera optimista. El delantero de Cristal Maximiliano Nuñez no ve las horas de jugar contra Aurich el próximo Play Off por el título. «A seguir trabajando para esperar cuando se decida jugar, ambos equipos tendrá muchas ganas de saltar al campo», dijo el guarango tras su llegada a Lima desde Chiclayo.";"correo";"2014/12/10";"Nacional Deportes. Deporte. Maxi Nuñez espera optimista. El delantero de Cristal Maximiliano Nuñez no ve las horas de jugar contra Aurich el próximo Play Off por el título. «A seguir trabajando para esperar cuando se decida jugar, ambos equipos tendrá muchas ganas de saltar al campo», dijo el guarango tras su llegada a Lima desde Chiclayo.";"1";"1.0";"equipo, es, lima, real, mejor"
"Huelga de trabajadores de EMAPE contra la gestión de Susana Villarán.";"";"Enrique Rodríguez";"Trabajadores de la Empresa Municipal Administradora de Peaje (EMAPE) protestaron durante la mañana de ayer contra la saliente gestión de la alcaldesa de Lima, Susana Villarán. Percy Valverde, secretario general del sindicato, denunció que hace días debieron haber recibido sus remuneraciones de diciembre, pero que a la fecha no se había realizado el depósito.";"correo";"2014/12/25";"Huelga de trabajadores de EMAPE contra la gestión de Susana Villarán.. . Trabajadores de la Empresa Municipal Administradora de Peaje (EMAPE) protestaron durante la mañana de ayer contra la saliente gestión de la alcaldesa de Lima, Susana Villarán. Percy Valverde, secretario general del sindicato, denunció que hace días debieron haber recibido sus remuneraciones de diciembre, pero que a la fecha no se había realizado el depósito.";"0";"0.3175";"reunión, productos, investigación, lossio, economía"
"Real Madrid Campeón del Mundial de Clubes";"";"";"Finalmente el Mundial de Clubes. El Real Madrid cierra este 2014 con un nuevo título al ganar el Mundial de Clubes en Marruecos por primera vez en su historia. Los Blancos derrotaron en la final a San Lorenzo de Argentina por 2-0 con goles de Sergio Ramos y Gareth Bale.";"correo";"2014/12/21";"Real Madrid Campeón del Mundial de Clubes. . Finalmente el Mundial de Clubes. El Real Madrid cierra este 2014 con un nuevo título al ganar el Mundial de Clubes en Marruecos por primera vez en su historia. Los Blancos derrotaron en la final a San Lorenzo de Argentina por 2-0 con goles de Sergio Ramos y Gareth Bale.";"1";"0.8054";"equipo, es, lima, real, mejor"
"Tema del Día";"Exceso y Retribución para Lima";"DiarioCorreo.pe";"Sr.s y señores, según información proporcionada por DiarioCorreo.pe, el último Congreso de la gestión anterior cerró con un presupuesto significativamente menor comparado con el aumento observado bajo la dirección de Freddy Otárola.";"correo";"2014/12/28";"Tema del Día. Exceso y Retribución para Lima. Sr.s y señores, según información proporcionada por DiarioCorreo.pe, el último Congreso de la gestión anterior cerró con un presupuesto significativamente menor comparado con el aumento observado bajo la dirección de Freddy Otárola.";"0";"0.8508";"reunión, productos, investigación, lossio, economía"
"FIFA suspende temporalmente a Franz Beckenbauer por resistirse a cooperar en investigación";"Investigación relacionada con sospechas de sobornos durante selección de Qatar como sede del Mundial 2022.";"NA";"Franz Beckenbauer, exjugador legendario alemán, ha sido objeto de una medida disciplinaria emitida por la FIFA, resultando en una suspensión provisional de 90 días luego de mostrar reticencia hacia la colaboración requerida en las investigaciones vinculadas a potencial malversación ocurrida durante el proceso electoral que designó a Qatar como país organizador del Mundial 2022.";"correo";"2014/12/16";"FIFA suspende temporalmente a Franz Beckenbauer por resistirse a cooperar en investigación. Investigación relacionada con sospechas de sobornos durante selección de Qatar como sede del Mundial 2022.. Franz Beckenbauer, exjugador legendario alemán, ha sido objeto de una medida disciplinaria emitida por la FIFA, resultando en una suspensión provisional de 90 días luego de mostrar reticencia hacia la colaboración requerida en las investigaciones vinculadas a potencial malversación ocurrida durante el proceso electoral que designó a Qatar como país organizador del Mundial 2022.";"-1";"0.2783";"Unknown"
"Celebración cultural revive tradiciones locales";"Evento congrega artistas regionales";"Marisol Pérez";"Este año, la celebración cultural local alcanzó nuevos niveles gracias a la inclusión de diversas artesanías y música autóctona. Artistas provenientes de distintas partes del país compartieron sus talentos, revitalizando así nuestras raíces culturales.";"correo";"2014/12/15";"Celebración cultural revive tradiciones locales. Evento congrega artistas regionales. Este año, la celebración cultural local alcanzó nuevos niveles gracias a la inclusión de diversas artesanías y música autóctona. Artistas provenientes de distintas partes del país compartieron sus talentos, revitalizando así nuestras raíces culturales.";"-1";"0.3121";"Unknown"
"Alejandro Domínguez Va a Ecuador. El Volante Argentino Alejandro Dominguez va a dirigir al Barcelona de Guayaquil en la próxima Temporada. Luego de Siete Años y Medio de su Ausencia del Atlético, el Centrocampista podría retornar a vestirse de Rojo.";"";"";"";"correo";"2014/12/25";"Alejandro Domínguez Va a Ecuador. El Volante Argentino Alejandro Dominguez va a dirigir al Barcelona de Guayaquil en la próxima Temporada. Luego de Siete Años y Medio de su Ausencia del Atlético, el Centrocampista podría retornar a vestirse de Rojo.. .";"1";"1.0";"equipo, es, lima, real, mejor"
